Plant,Side,tissue,Identifier 1,Identifier 2,Run,Row,Amount,d13C,pctC,mcgC,d15N,pctN,mcgN,CNratio,Fungal_treatment,N_level,Fungus_attempted,Fungal_state_week_of_August_21,Notes1,Predicted_fungi_just_prior_to_harvest,Receives 15N label?,Harvest date,Batch,Harvest_time,Actual_fungi_at_harvest,Actual_fungus_by_compartment,Limited_colonization,Failed_split,Roots_dead_at_harvest,Harvest_notes,enriched,mycofungus,uniqueIds,replicated,atmpct13C,atmpct15N,mmol13Cexcess,mmol15Nexcess,APE13C,APE15N
6052,b,uncolonized_roots,Bogar_6052_b_NM,2_B5,1,13,3834,-9.55,42.6,1632,3.46,1.6,61,26.5,THETE/SUIPU,High,SUIPU,NM,NA,THETE/NM,N,171220,FC12,18:50,MIXED/THETE,MIXED,N,N,N,NA,1,MIXED,6052 b uncolonized_roots MIXED,FALSE,1.100737393679341,0.3675660367721988,0.23103683199999997,-0.008970660000000002,0.0226030295101598,-8.904566495800958e-4
6077,a,mycorrhizas,Bogar_6077_a_mycorrhizas,2_B6,1,14,2701,-17.53,35.2,949,7.06,1,28,33.9,SUIPU/SUIPU,Low,SUIPU,SUIPU,NA,SUIPU/SUIPU,N,171207,FC03,19:10,SUIPU/SUIPU,SUIPU,N,N,N,all SUIPU (NM roots look Thelephoroid...),1,SUIPU,6077 a mycorrhizas SUIPU,FALSE,1.0919656561856592,0.3688798475619161,0.14136397599999997,0.004264739999999998,0.013831292016478036,4.2335414013722206e-4
6045,b,uncolonized_roots,Bogar_6045_b_NM,2_B7,1,15,2699,-25.67,46.4,1252,2.28,0.6,15,83.4,THETE/THETE,Low,THETE,THETE,NA,THETE/THETE,Y,171207,FC03,11:45,THETE/THETE,THETE,N,N,N,"Invented new category: ""other %"". This envelope has all the dead mycos, ambiguous fine roots, and bigger roots wound with hyphae that would throw off isotope signature.",1,THETE,6045 b uncolonized_roots THETE,FALSE,1.08301644100637,0.36713539125101935,0.049893167999999974,-0.013308930000000002,0.004882076837188887,-0.001321102170759536
6056,b,uncolonized_roots,Bogar_6056_b_NM,2_B8,1,16,2821,-26.35,46.9,1323,4.5,0.7,20,66.7,SUIPU/NM,Low,NM,SUIPU,NA,THETE/SUIPU,Y,171218,FC10,11:50,MIXED/SUIPU,SUIPU,N,N,N,"Wow! SO much suipu hyphae (BR). Cup B spent an extra 30 mins in fridge while I had lunch. Looks and smells like suipu, although hyphae are not wound as tightly as usual around roots. Weird myco morphology -- not the usual buttons of suipu, but instead loose hyphae all over TFRs. Extractions 742 and 743 = mystery SUIPU.",1,SUIPU,6056 b uncolonized_roots SUIPU,FALSE,1.0822687674268057,0.36794558567052654,0.042251871999999975,-0.005147100000000002,0.004134403257624486,-5.10907751252343e-4
6084,b,uncolonized_roots,Bogar_6084_b_NM,2_B9,1,17,2233,-19.65,47.4,1058,4.29,0.7,15,72.3,SUIPU/SUIPU,Low,SUIPU,SUIPU,NA,SUIPU/SUIPU,N,171208,FC04,8:50,SUIPU/SUIPU,SUIPU,N,N,N,NA,1,SUIPU,6084 b uncolonized_roots SUIPU,FALSE,1.0896350583078502,0.36786894622213867,0.117541112,-0.005919165000000001,0.011500694138669054,-5.875471996402148e-4
6071,a,mycorrhizas,Bogar_6071_a_mycorrhizas,2_B10,1,18,1486,-27.17,42.2,627,4.08,0.9,14,45.1,THETE/SUIPU,Low,THETE,THETE,NA,THETE/SUIPU,Y,171219,FC11,7:50,THETE/SUIPU,THETE,N,N,N,"mycos dark and leggy w/thin, patchy mantle at best. The usual for low N?",1,THETE,6071 a mycorrhizas THETE,FALSE,1.0813671460184904,0.36779230665584484,0.03303736799999997,-0.006691230000000001,0.0032327818493091964,-6.641867659340495e-4
6028,a,mycorrhizas,Bogar_6028_a_mycorrhizas,2_B12,1,20,2873,-17.61,31.3,899,3.6,1.6,47,19,SUIPU/NM,High,SUIPU,SUIPU,NA,THETE/SUIPU,N,171217,FC09,7:40,MIXED/THETE,MIXED,N,N,N,"some THETE proto-crust AF, very dry soil AR. High-N mycos (esp. THETE) will probably be gritter than Low-N; hyphae hold dirt.",1,MIXED,6028 a mycorrhizas MIXED,FALSE,1.0918777110900066,0.36761713006156543,0.14046499999999998,-0.008455950000000002,0.013743346920825461,-8.39363360213452e-4
6004,x,mycorrhizas,Bogar_6004_X_mycorrhizas,1_A11,1,24,2394,-30.05,40.2,963,7.4,1,24,40.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,6004 x mycorrhizas NA,FALSE,1.0782003454632674,0.369003927901308,6.742319999999856e-4,0.0055147500000000006,6.598129408619258e-5,5.474344795290964e-4
6091,a,uncolonized_roots,Bogar_6091_a_NM,1_A12,1,25,2495,-29.55,45.7,1140,4.25,1.5,38,30.2,SUIPU/NM,High,SUIPU,SUIPU,NA,SUIPU/NM,N,171222,B03,10:50,THETE/NM,THETE,N,N,N,Lots of crust both sides; have intercept coloinzation data here,0,THETE,6091 a uncolonized_roots THETE,FALSE,1.0787501517716338,0.36785434821860163,0.006292831999999985,-0.0060662250000000015,6.157876024526221e-4,-6.021452031772512e-4
6073,a,uncolonized_roots,Bogar_6073_a_TFR,1_B1,1,26,3269,-31.33,35.4,1157,4.3,1.5,49,23.4,THETE/NM,High,THETE,THETE,NA,THETE/THETE,N,170126,B01,unknown,THETE/THETE,THETE,N,N,N,don't know where the data sheet is. Inferred fungal state from tin ball/mass data,0,THETE,6073 a uncolonized_roots THETE,FALSE,1.076792813463799,0.36787259572235464,-0.013709383999999986,-0.005882400000000002,-0.0013415507053822218,-5.838976994242406e-4
