Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,enriched
6001,a,NA,0.013556463073283842,0.0035846360617450834,Sp,NA,0.0011276884351851257,-3.831755992851349e-4,Y,Low,N,Sp/None,Sp,41.2,0.9,44.6,-35.37924413395641,NM,12.021461469593204,0.00312,0.00774,NA,0.02099,26.94048033414549,SUIPU/NM,1
6001,b,NA,NA,0.004805110961160208,None,NA,NA,-7.809710936755865e-4,N,Low,N,Sp/None,None,48.2,0.8,58.5,-6.152738558536508,0,NA,NA,0,NA,0.02171,0,SUIPU/NM,1
6002,a,0.015985898007320865,0.029340162283762128,0.00781768584307807,Sp,8.174906204589383e-4,0.0010984934290833026,-8.649099983463748e-4,N,High,N,MIXED/SUIPU,Sp,19.6,1.8,10.6,-33.9227923597342,0,26.7094563398951,NA,0.0801,NA,0.02481,76.35115813554475,MIXED/SUIPU,1
6002,b,NA,0.02015193620421818,0.01883291194760317,Sp,NA,0.0010656490267668128,0.01883291194760317,Y,High,N,MIXED/SUIPU,MIXED,41.6,2.8,14.9,1.070038253260292,0,18.910481498171407,0.0097,0.0282,NA,0.060219999999999996,31.893236824247907,MIXED/SUIPU,1
6002,b,NA,0.06406634231789377,0.01883291194760317,Tt,NA,-1.822839833354184e-5,0.01883291194760317,Y,High,N,MIXED/SUIPU,MIXED,32.4,2.2,14.7,3.4018288035402495,0,-3514.6446300773514,0.0097,0.0282,NA,0.060219999999999996,31.893236824247907,MIXED/SUIPU,1
6006,a,NA,0.04377849347977203,0.025570558363084084,Tt,NA,0.006601449726569841,0.0010911946748844437,Y,High,N,Tt/Tt,Tt,43.6,1.8,24,40.119782919952506,SELF,6.631648394377705,NA,0.0131,NA,0.06016,17.881517881517883,THETE/THETE,1
6006,b,0.006839168868316259,0.015821008008825466,0.02242717035905417,Tt,0.0021823465571397804,6.75163917840893e-4,-4.92660280919266e-4,N,High,N,Tt/Tt,Tt,40.4,2.4,17,-32.113423025100964,SELF,23.432839923406267,NA,0.00873,NA,0.0303,22.3674096848578,THETE/THETE,1
6007,a,NA,NA,0.005486804552721658,None,NA,NA,-9.34250939317427e-4,Y,Low,N,Sp/None,None,46.7,0.7,67.2,-5.872945181869843,0,NA,NA,0,NA,0.030969999999999998,0,SUIPU/NM,1
6007,b,0.007322932489023826,0.014677755565315698,0.004728144965359338,Sp,9.634663032961899e-4,-2.992375063211039e-4,-0.0015948194794525028,N,Low,N,Sp/None,Sp,26.1,1.5,17.7,-9.20339621783058,NM,-49.05052092489163,6.9e-4,0.01336,NA,0.0356,27.287581699346404,SUIPU/NM,1
6008,a,NA,0.010588213164530735,0.004882076837188887,Sp,NA,0.001007258924734633,-1.4231014668225628e-4,N,Low,N,Sp/Sp,Sp,44.7,1.1,40.5,-74.4023768605314,SELF,10.511908015429347,NA,0,NA,0.0279,0,SUIPU/SUIPU,1
6008,b,NA,0.004563217428184441,0.003573640655495147,Sp,NA,1.5329586253060024e-4,-3.3208283020252916e-4,Y,Low,N,Sp/Sp,Sp,37.9,0.7,53.9,-13.74120253492614,SELF,29.767388061589408,NA,4.8e-4,NA,0.03811,1.2438455558434829,SUIPU/SUIPU,1
6010,a,0.007201992027461301,0.030900672216962022,0.024845178866740314,Tt,0.001339351717721815,0.0035654110835123265,2.335836115021639e-4,Y,High,N,Tt/None,Tt,12,1.1,10.7,132.28955583930494,NM,8.666790867358111,NA,0.01606,NA,0.09852999999999999,14.015184571079503,THETE/NM,1
6010,b,NA,NA,0.0520725834754332,None,NA,NA,-6.276917196605947e-4,N,High,N,Tt/None,None,48.1,1.6,29.2,-82.9588504108193,0,NA,NA,0,NA,0.1128,0,THETE/NM,1
6011,a,0.00644335874994062,0.012973820662606883,0.008279451174811436,Tt,3.722621458513986e-4,-3.831755992851349e-4,-4.999592682504717e-4,N,Low,N,Tt/Sp,Tt,32.3,1,32.5,-25.94975528307879,OTHER,-33.85868172924182,NA,0.02296,NA,0.07805999999999999,22.72817263908137,THETE/SUIPU,1
6011,b,NA,0.02042672849601357,0.011808515247866636,Sp,NA,2.919746203876028e-4,-7.225788955825818e-4,Y,Low,N,Tt/Sp,Sp,46.9,0.6,84,-28.26920163443806,OTHER,69.96063037566975,0.00677,0.00798,NA,0.07516,9.598267981717584,THETE/SUIPU,1
6012,a,0.014040160991854789,0.030614948729296376,0.02430663266099531,Tt,0.008170483708488274,0.006692673985692843,-2.3719639807545656e-4,Y,High,N,Tt/Sp,Tt,45.3,1.2,38.8,-129.07004059799084,OTHER,4.574397138534313,0.0129,0.0927,NA,0.0704,56.83629675045984,THETE/SUIPU,1
6012,b,NA,0.015853986052507762,0.06127684493631902,Sp,NA,4.5619896593568354e-4,5.510838965971931e-4,N,High,N,Tt/Sp,Sp,17.2,1.5,11.2,28.768734035601852,OTHER,34.752349821728686,0.0051,0.0038,NA,0.0355,9.669211195928755,THETE/SUIPU,1
6013,a,NA,0.025043010693769352,0.00953279248556993,Sp,NA,5.145897138847388e-4,-1.5690801974821422e-4,N,Low,N,Sp/None,Sp,37.4,1.2,32.1,-159.60312757725927,NM,48.66597605442741,0.00169,0.00227,NA,0.02594,8.04679191775966,SUIPU/NM,1
6014,a,NA,NA,0.025570558363084084,None,NA,NA,-0.0015583237513989157,Y,High,N,None/None,None,42.8,2.2,19.2,-16.409015353920683,0,NA,NA,0,NA,0.02933,0,NM/NM,1
6014,b,NA,NA,0.01196242508398404,None,NA,NA,-0.0012773075409343582,N,High,N,None/None,None,43.3,1.4,31.9,-9.365344445734232,0,NA,NA,0,NA,0.03839,0,NM/NM,1
6015,a,NA,0.01511747117134421,0.01971226536119053,Sp,NA,-4.56165360305294e-4,-0.0014415376012988368,N,High,N,Tt/Sp,Sp,10.7,1.2,9.3,-10.487046024830187,OTHER,-33.140331307109044,0.0027,0.0639,NA,0.0974,39.61562306261624,THETE/SUIPU,1
6015,b,0.02018491135985867,0.02596621542156563,0.01641460943040829,Tt,0.008316437845406421,0.012242443652185742,0.001587507524355547,Y,High,N,Tt/Sp,Tt,15.6,1.3,12,16.356593605505388,OTHER,2.120999382090656,NA,0.092,NA,0.10456,46.8050468050468,THETE/SUIPU,1
6016,a,NA,0.006839168868316259,0.004816106093640249,Tt,NA,-1.0581548273219665e-4,-1.4231014668225628e-4,N,Low,N,Tt/None,Tt,37.5,0.8,47.5,-48.058195622455855,NM,-64.63296950244214,NA,0.05775,NA,0.0637,47.55043227665706,THETE/NM,1
6016,b,NA,NA,0.007421883555783326,None,NA,NA,-9.30601413702159e-4,Y,Low,N,Tt/None,None,46.3,0.6,81.6,-7.975362433909558,0,NA,NA,0,NA,0.02443,0,THETE/NM,1
6019,a,NA,0.0314281573949684,0.009356886849290369,Sp,NA,0.014271001976754571,-7.116303660598677e-4,Y,Low,N,Sp/Sp,Sp,45.2,0.9,50.8,-44.163597977105475,SELF,2.2022390191074455,0.03587,0.0185,NA,0.020040000000000002,48.0020757654385,SUIPU/SUIPU,1
6019,b,NA,0.023801053334227884,0.007136024378321171,Sp,NA,9.125524060649148e-5,-2.6274272740728355e-4,N,Low,N,Sp/Sp,Sp,42.8,0.8,56.1,-90.58691583624054,SELF,260.81848205148214,5.5e-4,0.00259,NA,0.049569999999999996,4.965490797546012,SUIPU/SUIPU,1
6020,a,NA,0.0250540013276197,0.010720139165737885,Sp,NA,2.0438808139339182e-4,-4.744128172703421e-4,N,Low,N,Sp/Sp,Sp,40.8,0.6,63.1,-52.810548989326286,SELF,122.58053971061805,NA,0,NA,0.07132,0,SUIPU/SUIPU,1
