Plant,Fungal_treatment,N_level,Harvest date,Batch,Harvest_time,Fungi,Harvest_notes,enriched,total_biomass,plant_response
6082,NM/NM,High,171206,FC02,19:50,FAILED,"Fungus noted as ""???"": ""no mycos -- just two smallish roots and a ton of rhizomorphs following into the soil""",1,3.1187,0.6001395589538232
6002,SUIPU/SUIPU,High,171215,FC07,16:45,MIXED/SUIPU,NA,1,2.9207,0.5345466242066697
6028,SUIPU/NM,High,171217,FC09,7:40,MIXED/THETE,"some THETE proto-crust AF, very dry soil AR. High-N mycos (esp. THETE) will probably be gritter than Low-N; hyphae hold dirt.",1,3.8849299999999998,0.8198282762680409
6098,SUIPU/NM,High,171217,FC09,10:35,MIXED/THETE,"lots of dead or nearly-dead SUIPU looking mycos w/NM roots protruding. Very little THETE -- collected all i could find for isotopes, but there's non in % pool.",1,1.8281,0.06600048675967722
6034,THETE/SUIPU,High,171212,FC05,15:30,MIXED/THETE,Many rhizomorphs in AF!,1,2.82563,0.5014546592139593
6052,THETE/SUIPU,High,171220,FC12,18:50,MIXED/THETE,NA,1,3.12757,0.6029796558315529
6014,NM/NM,High,171215,FC07,15:35,NM/NM,NA,1,1.7113399999999999,0
6063,SUIPU/SUIPU,High,171206,FC02,17:00,SUIPU/NM,NA,1,1.44911,-0.16632711449029358
6043,SUIPU/SUIPU,High,171206,FC02,11:10,SUIPU/SUIPU,visible SUIPU hyphae in root side,1,3.0163699999999998,0.5667774322951183
6050,SUIPU/SUIPU,High,171212,FC05,23:00,SUIPU/SUIPU,I guess the hyphae oxidize to brown.,1,2.5203599999999997,0.38712505909185363
6059,NM/NM,High,171212,FC05,9:55,THETE,Failed split; Lots of THETE hyphae on perlite,1,2.21063,0.2560008534076134
6018,THETE/NM,High,171220,FC12,12:05,THETE,failed split,1,2.528,0.3901517869133857
6027,THETE/SUIPU,High,180110,FC15,12:45,THETE,failed split,1,3.1473400000000002,0.6092809622778143
6068,NM/NM,High,171212,FC05,12:45,THETE/NM,NA,1,2.61799,0.4251301583994856
6051,SUIPU/NM,High,171217,FC09,19:15,THETE/NM,NA,1,1.55171,-0.09791914073999727
6091,SUIPU/NM,High,171222,B03,10:50,THETE/NM,Lots of crust both sides; have intercept coloinzation data here,0,3.39161,0.6840280455330422
6048,SUIPU/SUIPU,High,171206,FC02,9:00,THETE/NM,"no crusts, no hyphae",1,0.64366,-0.9778613319744046
6010,THETE/NM,High,180111,FC16,13:30,THETE/NM,"crust everywhere EXCEPT BF, BR (BR has a little crust, but only at top/stem -- crawled from side A)",1,4.33686,0.9298738945828396
6040,THETE/NM,High,171217,FC09,18:10,THETE/NM,NA,1,2.1406300000000003,0.22382348886092332
6049,THETE/NM,High,171206,FC02,18:20,THETE/NM,NA,1,3.79955,0.7976059492961566
6090,THETE/NM,High,171220,FC12,10:30,THETE/NM,NA,1,4.5864,0.9858187132408106
6015,SUIPU/NM,High,171215,FC07,9:20,THETE/SUIPU,"lots of hyphae. Unambiguous, happy-looking SUIPU.",1,3.64942,0.7572915614869901
6041,SUIPU/NM,High,171215,FC07,7:30,THETE/SUIPU,NA,1,1.85417,0.08016046720421664
6064,SUIPU/SUIPU,High,171212,FC05,7:20,THETE/SUIPU,"had thrips damage. Mostly dead, some live SUIPU, plus possibly some mystery fungus as on side B.",1,1.9198,0.11494432457607405
6012,THETE/SUIPU,High,171206,FC02,15:15,THETE/SUIPU,fuiting at top F & R compartments. Weird root architecture -- just one huge clump of mycorrhizas (like a bunch of grapes); taking all for % col.,1,2.34032,0.3130109827854159
6025,THETE/SUIPU,High,171215,FC07,18:45,THETE/SUIPU,"THETE crust AR, AF.",1,4.78099,1.0273709486579201
6106,THETE/SUIPU,High,180130,B04,14:20,THETE/SUIPU,"rhizos saved for RNA: FC6106A, 71.07mg tissue (cleaned and patted dry). Frozen at 3:15, also grabbed a few mycos, all stage 3 (48.98mg). No perlite on this tester (high N). Did point-intercept colonization.",0,4.272530000000001,0.9149294682618198
6065,NM/NM,High,171220,FC12,16:25,THETE/THETE,NA,1,4.56389,0.980898640672948
6099,NM/NM,High,180111,FC16,15:10,THETE/THETE,NA,1,5.94485,1.24524860916641
