Amount,leaf.d15N,leaf.pctN,leaf.d13C,leaf.pctC,Plant,Fungal_treatment,N_level,Harvest date,Batch,Harvest_time,Actual_fungi_at_harvest,Failed_split,enriched,leaf.atmpct13C,leaf.atmpct15N,leaf.mmol13Cexcess,leaf.mmol15Nexcess,leaf.APE13C,leaf.APE15N
1612,3.46,1.43,-12,44.69,6094,SUIPU/NM,High,171220,FC12,8:15,THETE/THETE,N,1,1.0980444818934898,0.3675660367721988,0.22714126933333337,-0.004044150000000002,0.02222303642059198,-4.0144393666396994e-4
1580,5.24,0.87,-27.54,43.82,6008,SUIPU/SUIPU,Low,171214,FC06,8:10,SUIPU/SUIPU,N,1,1.0809603114650235,0.3682156475488867,0.0525151813333334,0.002500019999999999,0.005138865992125652,2.481668400239334e-4
1610,5.83,0.74,-32.27,44.22,6042,NM/NM,Low,171204,B02,NA,NA,NA,0,1.0757591316428923,0.3684309661056273,-6.367746666666464e-4,0.004669154999999999,-6.23138300055448e-5,4.6348539676455136e-4
1527,5.27,1.24,-17.29,44.92,6097,THETE/SUIPU,High,171212,FC05,13:45,THETE/THETE,N,1,1.092229490534253,0.36822659597253493,0.1676964813333334,0.0026103149999999967,0.01640804506135507,2.5911526367217164e-4
1590,5.3,0.79,-25.65,44.78,6085,THETE/SUIPU,Low,171214,FC06,20:15,THETE/SUIPU,N,1,1.0830384312346653,0.36823754439377693,0.0737534893333334,0.0027206099999999974,0.007216985761767436,2.70063684914168e-4
1552,3.81,0.53,-18.81,45.29,6020,SUIPU/SUIPU,Low,171219,FC11,10:20,SUIPU/SUIPU,N,1,1.090558515887618,0.3676937698973598,0.1506159373333334,-0.0027573750000000016,0.014737070414720277,-2.737108115029585e-4
1731,5.07,1.41,-10.97,44.46,6065,NM/NM,High,171220,FC12,16:25,THETE/THETE,N,1,1.0991766218577208,0.36815360643609596,0.2387155853333334,0.0018750149999999992,0.023355176384822984,1.8612572723319953e-4
1578,4.73,1.59,-21.85,45.31,6099,NM/NM,High,180111,FC16,15:10,THETE/THETE,N,1,1.0872163972092372,0.36802952397871486,0.11645484933333336,6.250049999999998e-4,0.01139495173633942,6.204326985209674e-5
1631,5.99,0.59,-24.84,44.48,6088,NM/NM,Low,171205,FC01,9:00,THETE/THETE,N,1,1.0839290272640947,0.36848935741822786,0.08285562133333338,0.005257394999999999,0.00810758179119686,5.218767093650989e-4
1897,7.53,1.38,-19.87,44.87,6093,THETE/NM,High,180110,FC15,14:00,THETE/THETE,N,1,1.0893931975208018,0.36905137030234075,0.13870450533333337,0.010919205,0.013571752047903951,0.0010838895934779935
1948,6.69,1.42,-11.14,45.48,6024,THETE/NM,High,180109,FC14,10:50,THETE/THETE,N,1,1.0989897655913212,0.3687448186061163,0.23680526133333338,0.007830945,0.023168320118423402,7.773378972535383e-4
1511,4.44,1.07,-24.4,45.27,6033,SUIPU/SUIPU,Low,171205,FC01,7:50,SUIPU/SUIPU,N,1,1.084412801101558,0.36792368869730413,0.0877999893333334,-4.411800000000004e-4,0.008591355628660091,-4.3792011558629884e-5
1582,5.48,0.7,-22.29,45.43,6011,THETE/SUIPU,Low,171221,FC13,11:05,THETE/SUIPU,N,1,1.0867326507949657,0.3683032348706982,0.1115104813333334,0.00338238,0.010911205322067907,3.3575416183545537e-4
1702,5.85,0.72,-19.46,44.87,6092,SUIPU/SUIPU,Low,171216,FC08,15:40,SUIPU/SUIPU,N,1,1.0898439371266098,0.36843826502344534,0.14331175733333337,0.004742684999999997,0.014022491653711944,4.707843145825841e-4
1920,6.96,1.49,-4.48,44.88,6041,SUIPU/NM,High,171215,FC07,7:30,THETE/SUIPU,N,1,1.106309606652086,0.3688433532856305,0.3116450133333334,0.008823599999999997,0.03048816117918829,8.758725767677444e-4
1730,3.22,1.28,-14.27,45.99,6043,SUIPU/SUIPU,High,171206,FC02,11:10,SUIPU/SUIPU,N,1,1.095549285800422,0.36747844815422387,0.20163282533333338,-0.004926510000000001,0.019727840327524282,-4.890325546388907e-4
1900,5.19,0.96,-15.48,44.59,6030,THETE/THETE,Low,171219,FC11,11:55,THETE/THETE,N,1,1.0942191959117007,0.36819740017079255,0.18803581333333338,0.0023161949999999996,0.018397750438802873,2.2991946192979507e-4
1846,5.43,1.26,-18.58,44.39,6029,THETE/THETE,Low,171216,FC08,10:20,THETE/THETE,N,1,1.0908113643607191,0.36828498752468697,0.1532004933333334,0.003198554999999997,0.014989918887821307,3.175068158242089e-4
1906,5.23,0.73,-18.82,45.95,6078,THETE/SUIPU,Low,171208,FC04,14:00,THETE/SUIPU,N,1,1.090547522446419,0.3682119980738026,0.15050356533333337,0.0024632549999999997,0.01472607697352113,2.4451736493985576e-4
1835,7.96,1.19,-13.18,45.15,6006,THETE/THETE,High,180110,FC15,10:20,THETE/THETE,N,1,1.0967474353201137,0.3692082948454047,0.21388137333333337,0.012500099999999998,0.02092598984721583,0.0012408141365419234
1814,4.14,0.9,-23.44,45.43,6019,SUIPU/SUIPU,Low,171221,FC13,8:30,SUIPU/SUIPU,N,1,1.0854682912309546,0.3678142036868173,0.09858770133333337,-0.001544130000000003,0.009646845758056743,-1.5327702204548377e-4
1906,10.25,1.37,-12.37,46.01,6026,THETE/SUIPU,High,180110,FC15,8:00,THETE/THETE,N,1,1.0976377845105092,0.37004400094613443,0.22298350533333341,0.020919285,0.021816339037611376,0.002076520237271673
1748,4.9,1.32,-31.85,45.64,6091,SUIPU/NM,High,171222,B03,10:50,THETE/NM,N,0,1.0762209921475145,0.3680915652460388,0.0040828493333333726,0.0012500099999999995,3.995466746167242e-4,1.2408453717605017e-4
1593,4.96,0.54,-21.99,45.88,6053,THETE/SUIPU,Low,171216,FC08,17:30,THETE/SUIPU,N,1,1.0870624784088514,0.3681134621454701,0.1148816413333334,0.0014705999999999981,0.011241032935953577,1.459814366073231e-4
1512,4.76,1.39,-13.38,44.89,6064,SUIPU/SUIPU,High,171212,FC05,7:20,THETE/SUIPU,N,1,1.0965275935461203,0.36804047244326893,0.21163393333333336,7.352999999999974e-4,0.020706148073222463,7.299173440616924e-5
1676,5.6,0.82,-24.9,45.95,6077,SUIPU/SUIPU,Low,171207,FC03,19:10,SUIPU/SUIPU,N,1,1.0838630577378034,0.36834702847385487,0.0821813893333334,0.003823559999999997,0.008041612264905629,3.795477649921053e-4
1918,5.31,1.47,-15.97,45.47,6058,NM/NM,Low,171221,FC13,19:25,NM/NM,N,1,1.0936805542920902,0.36824119386698945,0.18252958533333338,0.002757374999999997,0.017859108819192393,2.7371315812668717e-4
1826,4.86,1.29,-12.46,45.75,6012,THETE/SUIPU,High,171206,FC02,15:15,THETE/SUIPU,N,1,1.0975388576143053,0.3680769673077375,0.22197215733333336,0.0011029499999999995,0.021717412141407433,1.0948659887471957e-4
1758,7.93,1.42,-18.27,45.32,6028,SUIPU/NM,High,171217,FC09,7:40,MIXED/THETE,N,1,1.0911521580833983,0.3691973466375111,0.1566840253333334,0.012389804999999997,0.015330712610500452,0.0012298659286483216
1606,5.07,1.29,-16.32,44.25,6087,THETE/THETE,High,171217,FC09,14:10,THETE/THETE,N,1,1.0932958066860938,0.36815360643609596,0.17859656533333337,0.0018750149999999992,0.01747436121319601,1.8612572723319953e-4
1610,5.6,0.69,-25.67,45.07,6036,SUIPU/NM,Low,171219,FC11,14:20,SUIPU/SUIPU,N,1,1.08301644100637,0.36834702847385487,0.07352874533333337,0.003823559999999997,0.007194995533472248,3.795477649921053e-4
1707,2.95,1.39,-32.52,44.79,6009,THETE/THETE,High,171204,B02,NA,NA,NA,0,1.0754842126282869,0.3673799107749222,-0.0034460746666666463,-0.005919165000000001,-3.3723284461095737e-4,-5.87569933940546e-4
1841,4.95,1.32,-17.05,44.81,6055,THETE/THETE,High,171217,FC09,21:10,THETE/THETE,N,1,1.0924933234753094,0.3681098126628999,0.17039340933333336,0.0014338349999999988,0.016671878002411544,1.4233195403712262e-4
1924,2.93,1.68,-20.75,45.68,6050,SUIPU/SUIPU,High,171212,FC05,23:00,SUIPU/SUIPU,N,1,1.0884257425442792,0.3673726117020352,0.12881576933333339,-0.005992695000000001,0.012604297071381332,-5.948690068275364e-4
1825,7.36,1.54,-18.37,45.14,6022,THETE/THETE,High,171215,FC07,13:55,THETE/THETE,N,1,1.0910422248810612,0.36898933023036184,0.15556030533333337,0.0102942,0.015220779408163354,0.0010218495214990853
