Plant,Side,competitors,compartment_fungus,N_level,total_root_biomass_compartment,percent_col_overall,percent_col_Sp,percent_col_Tt
6001,A,Sp/None,Sp,Low,0.15075,26.94048033414549,26.94048033414549,0
6001,B,Sp/None,None,Low,0.21956,0,0,0
6006,A,Tt/Tt,Tt,High,0.66489,17.881517881517883,0,17.881517881517883
6006,B,Tt/Tt,Tt,High,0.66093,22.3674096848578,0,22.3674096848578
6007,A,Sp/None,None,Low,0.16283999999999998,0,0,0
6007,B,Sp/None,Sp,Low,0.2419,27.287581699346404,27.287581699346404,0
6008,A,Sp/Sp,Sp,Low,0.1377,0,0,0
6008,B,Sp/Sp,Sp,Low,0.12529,1.2438455558434829,1.2438455558434829,0
6010,A,Tt/None,Tt,High,0.78818,14.015184571079502,0,14.015184571079502
6010,B,Tt/None,None,High,0.5902999999999999,0,0,0
6011,A,Tt/Sp,Tt,Low,0.13327,22.72817263908137,0,22.72817263908137
6011,B,Tt/Sp,Sp,Low,0.50446,0,0,0
6012,A,Tt/Sp,Tt,High,0.17600000000000002,56.83629675045983,0,56.83629675045983
6012,B,Tt/Sp,Sp,High,0.58432,9.669211195928755,9.669211195928755,0
6013,A,Sp/None,Sp,Low,0.31219,8.046791917759657,8.046791917759657,0
6013,B,Sp/None,None,Low,0.52447,0,0,0
6014,A,None/None,None,High,0.38138,0,0,0
6014,B,None/None,None,High,0.28587999999999997,0,0,0
6015,A,Tt/Sp,Sp,High,0.59377,39.615623062616244,39.615623062616244,0
6015,B,Tt/Sp,Tt,High,1.08692,46.8050468050468,0,46.8050468050468
6016,A,Tt/None,Tt,Low,0.20239000000000001,47.55043227665706,0,47.55043227665706
6016,B,Tt/None,None,Low,0.4849,0,0,0
6019,A,Sp/Sp,Sp,Low,0.23658,48.0020757654385,48.0020757654385,0
6019,B,Sp/Sp,Sp,Low,0.0846,4.965490797546012,4.965490797546012,0
6020,A,Sp/Sp,Sp,Low,0.33236,0,0,0
6020,B,Sp/Sp,Sp,Low,0.6106199999999999,0,0,0
6021,A,Tt/Tt,Tt,Low,0.30741,31.38189244383935,0,31.38189244383935
