Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,enriched,Batch,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13,hyphae.ppm13Cexcess
6002,a,0.015985898007320865,0.029340162283762128,0.00781768584307807,Sp,8.174906204589383e-4,0.0010984934290833026,-8.649099983463748e-4,N,High,N,MIXED/SUIPU,Sp,19.6,1.8,10.6,-33.9227923597342,Mixed,26.7094563398951,NA,0.0801,NA,0.02481,76.35115813554475,MIXED/SUIPU,1,FC07,Mixed,293.4016228376213,78.1768584307807,10.984934290833026,-8.64909998346375,5.6815423968374885,4.358973675760804,159.85898007320864
6006,b,0.006839168868316259,0.015821008008825466,0.02242717035905417,Tt,0.0021823465571397804,6.75163917840893e-4,-4.92660280919266e-4,N,High,N,Tt/Tt,Tt,40.4,2.4,17,-32.113423025100964,Self,23.432839923406267,NA,0.00873,NA,0.0303,22.3674096848578,THETE/THETE,1,FC15,Tt,158.21008008825464,224.2717035905417,6.75163917840893,-4.9266028091926595,5.063923770675715,5.412858279268181,68.39168868316258
6007,b,0.007322932489023826,0.014677755565315698,0.004728144965359338,Sp,9.634663032961899e-4,-2.992375063211039e-4,-0.0015948194794525028,N,Low,N,Sp/None,Sp,26.1,1.5,17.7,-9.20339621783058,None,-49.05052092489163,6.9e-4,0.01336,NA,0.0356,27.287581699346404,SUIPU/NM,1,FC01,None,146.77755565315698,47.28144965359338,-2.992375063211039,-15.948194794525028,4.98891821384538,3.8561180336598118,73.22932489023826
6010,a,0.007201992027461301,0.030900672216962022,0.024845178866740314,Tt,0.001339351717721815,0.0035654110835123265,2.335836115021639e-4,Y,High,N,Tt/None,Tt,12,1.1,10.7,132.28955583930494,None,8.666790867358111,NA,0.01606,NA,0.09852999999999999,14.015184571079503,THETE/NM,1,FC16,None,309.0067221696202,248.45178866740315,35.65411083512326,2.335836115021639,5.733363031255358,5.51524881732772,72.01992027461301
6011,a,0.00644335874994062,0.012973820662606883,0.008279451174811436,Tt,3.722621458513986e-4,-3.831755992851349e-4,-4.999592682504717e-4,N,Low,N,Tt/Sp,Tt,32.3,1,32.5,-25.94975528307879,Other,-33.85868172924182,NA,0.02296,NA,0.07805999999999999,22.72817263908137,THETE/SUIPU,1,FC13,Sp,129.73820662606883,82.79451174811436,-3.831755992851349,-4.9995926825047166,4.865518624859628,4.416361775959049,64.4335874994062
6012,a,0.014040160991854789,0.030614948729296376,0.02430663266099531,Tt,0.008170483708488274,0.006692673985692843,-2.3719639807545656e-4,Y,High,N,Tt/Sp,Tt,45.3,1.2,38.8,-129.07004059799084,Other,4.574397138534313,0.0129,0.0927,NA,0.0704,56.83629675045984,THETE/SUIPU,1,FC02,Sp,306.1494872929638,243.06632660995308,66.92673985692844,-2.3719639807545656,5.724073503230299,5.493334355108896,140.40160991854788
6015,b,0.02018491135985867,0.02596621542156563,0.01641460943040829,Tt,0.008316437845406421,0.012242443652185742,0.001587507524355547,Y,High,N,Tt/Sp,Tt,15.6,1.3,12,16.356593605505388,Other,2.120999382090656,NA,0.092,NA,0.10456,46.8050468050468,THETE/SUIPU,1,FC07,Sp,259.6621542156563,164.14609430408288,122.42443652185742,15.87507524355547,5.5593813791915245,5.100756850207834,201.8491135985867
6021,a,0.003089840360507967,0.005014018060299774,0.0025180702741527394,Tt,-3.5762920819359945e-4,-6.932084551769524e-5,-3.35732311970649e-4,Y,Low,N,Tt/Tt,Tt,45.6,0.6,77.7,-14.934571030321676,Self,-72.3305958381576,NA,0.01844,NA,0.040319999999999995,31.381892443839355,THETE/THETE,1,FC13,Tt,50.140180602997745,25.180702741527394,-0.6932084551769524,-3.35732311970649,3.9148226946980866,3.226077936945084,30.89840360507967
6021,b,0.0017923525687293385,0.004057436218082744,0.002408113730523853,Tt,-0.001134975259897697,-2.992375063211039e-4,-9.597976261104813e-4,N,Low,N,Tt/Tt,Tt,21.5,0.7,30.7,-4.227387219663426,Self,-13.55925020217491,NA,0.0074400000000000004,NA,0.09323000000000001,7.3904837588159324,THETE/THETE,1,FC13,Tt,40.574362180827436,24.08113730523853,-2.992375063211039,-9.597976261104812,3.7031363937657633,3.1814288496092975,17.923525687293385
6023,a,0.02202049367673209,0.028526919277042095,0.026229985035095993,Tt,0.00749908917032216,0.009812443091747558,0.003120207168362532,Y,High,N,Tt/Tt,Tt,46.4,2.5,18.3,9.14263628591459,Self,2.9072188251500535,NA,0.0198,NA,0.0394,33.44594594594595,THETE/THETE,1,FC14,Tt,285.26919277042094,262.2998503509599,98.12443091747558,31.20207168362532,5.653433270511743,5.569488316346397,220.2049367673209
6024,a,0.023119612149667512,0.03225234172026625,0.02675752004110965,Tt,0.0018539087055960413,0.0012152733508291602,-7.152798756333567e-4,N,High,N,Tt/Tt,Tt,47.7,2.4,19.7,-45.09052025503705,Self,26.53916643384061,NA,0.0259,NA,0.10700000000000001,19.488337095560567,THETE/THETE,1,FC14,Tt,322.52341720266253,267.5752004110965,12.152733508291602,-7.152798756333567,5.776175745080866,5.589400649860522,231.19612149667512
6024,b,0.12167707452960985,0.03097759748923634,0.022097432765042058,Tt,0.015788718203993857,0.005280503730484332,7.31780560786488e-6,Y,High,N,Tt/Tt,Tt,48.6,1.7,27.8,4233.181249846659,Self,5.866409545438396,NA,0.0189,NA,0.0393,32.47422680412371,THETE/THETE,1,FC14,Tt,309.7759748923634,220.97432765042058,52.80503730484332,0.0731780560786488,5.7358493745958645,5.398046530292403,1216.7707452960985
6025,a,0.01962433072348735,0.018668031441723798,0.03831791573269672,Tt,0.0026421559113664617,0.003809906623017445,0.0024742894961665707,Y,High,N,Tt/Sp,Tt,10.5,0.8,13.5,7.544804870507786,Other,4.8998658730745275,NA,0.01655,NA,0.042460000000000005,28.04609388239281,THETE/SUIPU,1,FC07,Sp,186.68031441723798,383.1791573269672,38.09906623017445,24.742894961665705,5.229397605337953,5.948502653508289,196.2433072348735
6032,a,0.0012645511855917668,0.003936487771094566,0.007531828953323494,Tt,-0.002266345647666146,-4.92660280919266e-4,-0.0012663588894937794,N,Low,N,Tt/Tt,Tt,39.4,1.7,23,-3.1085088151180877,Self,-7.990268189977451,NA,0.02623,NA,0.03577,42.306451612903224,THETE/THETE,1,FC04,Tt,39.364877710945656,75.31828953323495,-4.9266028091926595,-12.663588894937794,3.6728739900888807,4.3217229942007,12.645511855917668
6032,b,0.004508241460242202,0.005574764331746751,0.007850669224038764,Tt,-6.860838065314567e-4,-7.444759618465691e-4,-8.57610957542998e-4,Y,Low,N,Tt/Tt,Tt,15.1,0.7,21.6,-6.5003417723557355,Self,-7.48817237553154,NA,0.02386,NA,0.04517,34.564682022309135,THETE/THETE,1,FC04,Tt,55.74764331746751,78.50669224038765,-7.444759618465691,-8.57610957542998,4.0208351371143065,4.363183872624569,45.08241460242202
6033,a,0.004310327469668529,0.010269390542044343,NA,Sp,1.9343975319130458e-4,8.320882079917435e-4,NA,N,Low,N,Sp/Sp,Sp,30.7,1.4,21.4,NA,Self,12.341709020044473,0.00296,0.0094,NA,0.02336,28.693528693528698,SUIPU/SUIPU,1,FC01,Sp,102.69390542044343,NA,8.320882079917435,NA,4.631752771653105,NA,43.10327469668529
6033,b,0.018448189912061874,0.02005301060536402,0.006311421339885381,Sp,0.0047805785672452306,0.0015035726104622449,-9.34250939317427e-4,Y,Low,N,Sp/Sp,Sp,32.2,1.8,17.9,-21.464265928397083,Self,13.336908683910584,NA,0.00314,NA,0.05809,5.128205128205128,SUIPU/SUIPU,1,FC01,Sp,200.5301060536402,63.11421339885381,15.035726104622448,-9.34250939317427,5.300964390355507,4.144945996144571,184.48189912061875
6035,b,0.00681717950039773,0.005574764331746751,0.00857629803998261,Tt,0.008163185990416322,-9.121762463820682e-5,-3.028869856829264e-4,Y,Low,N,Tt/Tt,Tt,47.1,1.3,36.6,-18.40542709082465,Self,-61.11499125150143,NA,0.00437,NA,0.02195,16.60334346504559,THETE/THETE,1,FC13,Tt,55.74764331746751,85.7629803998261,-0.9121762463820682,-3.028869856829264,4.0208351371143065,4.451587449515107,68.1717950039773
6038,a,0.02097630849866916,0.06400045049432634,NA,Tt,3.613138545441319e-4,-4.6711383368225334e-4,NA,N,High,N,Tt/Tt,Tt,44.9,2.4,18.9,NA,Self,-137.01253501702462,NA,0.0095,NA,0.18480000000000002,4.889346371590323,THETE/THETE,1,FC14,Tt,640.0045049432634,NA,-4.671138336822533,NA,6.4614752153027935,NA,209.7630849866916
