Plant,Side,mycofungus,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,hyphae.pctC,mycorrhizas.pctC,uncolonized_roots.pctC,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,hyphae.pctN,mycorrhizas.pctN,uncolonized_roots.pctN,enriched,received15N,N_level,Failed_split,Fungi,compartment_fungus,dead_tissue,mycorrhizas,other,roots,percent_col,Batch,Fungus_attempted,competitors,attempted,Plantside,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13,mycologN15,nmlogN15,competition_treatment,hyphae.ppm13Cexcess
6002,a,Sp,0.015985898007320865,0.029340162283762128,0.00781768584307807,24.9,19.6,37.3,8.174906204589383e-4,0.0010984934290833026,-8.649099983463748e-4,1.8,NA,1.3,1,N,High,N,MIXED/SUIPU,Sp,NA,0.0801,NA,0.02481,76.35115813554475,FC07,Sp,MIXED/SUIPU,Sp/Sp,6002 A,0,293.4016228376213,78.1768584307807,10.984934290833026,-8.64909998346375,5.6815423968374885,4.358973675760804,3.411324526122774,2.367560111197171,Mixed,159.85898007320864
6006,b,Tt,0.006839168868316259,0.015821008008825466,0.02242717035905417,18.3,40.4,44.6,0.0021823465571397804,6.75163917840893e-4,-4.92660280919266e-4,1.8,2.4,1.5,1,N,High,N,Tt/Tt,Tt,NA,0.00873,NA,0.0303,22.3674096848578,FC15,Tt,Tt/Tt,Tt/Tt,6006 B,0,158.21008008825464,224.2717035905417,6.75163917840893,-4.9266028091926595,5.063923770675715,5.412858279268181,3.2608643507662025,2.666799005178709,Self,68.39168868316258
6007,b,Sp,0.007322932489023826,0.014677755565315698,0.004728144965359338,11,26.1,47.4,9.634663032961899e-4,-2.992375063211039e-4,-0.0015948194794525028,0.4,1.5,0.5,1,N,Low,N,Sp/None,Sp,6.9e-4,0.01336,NA,0.0356,27.287581699346404,FC01,Sp,Sp/None,Tt/Sp,6007 B,0,146.77755565315698,47.28144965359338,-2.992375063211039,-15.948194794525028,4.98891821384538,3.8561180336598118,2.7928844002657858,1.2155739027867203,None,73.22932489023826
6010,a,Tt,0.007201992027461301,0.030900672216962022,0.024845178866740314,12,35.1,46.9,0.001339351717721815,0.0035654110835123265,2.335836115021639e-4,1.1,1.9,1.4,1,Y,High,N,Tt/None,Tt,NA,0.01606,NA,0.09852999999999999,14.015184571079503,FC16,Tt,Tt/None,Tt/None,6010 A,0,309.0067221696202,248.45178866740315,35.65411083512326,2.335836115021639,5.733363031255358,5.51524881732772,4.0068700683787615,3.075294546613798,None,72.01992027461301
6011,a,Tt,0.00644335874994062,0.012973820662606883,0.008279451174811436,32.3,36.7,45,3.722621458513986e-4,-3.831755992851349e-4,-4.999592682504717e-4,1,0.8,0.6,1,N,Low,N,Tt/Sp,Tt,NA,0.02296,NA,0.07805999999999999,22.72817263908137,FC13,Tt,Tt/Sp,Tt/Sp,6011 A,0,129.73820662606883,82.79451174811436,-3.831755992851349,-4.9995926825047166,4.865518624859628,4.416361775959049,2.740108636674128,2.66171518726735,Other,64.4335874994062
6012,a,Tt,0.014040160991854789,0.030614948729296376,0.02430663266099531,4.2,39.1,45.3,0.008170483708488274,0.006692673985692843,-2.3719639807545656e-4,0.3,2.6,1.2,1,Y,High,N,Tt/Sp,Tt,0.0129,0.0927,NA,0.0704,56.83629675045984,FC02,Tt,Tt/Sp,Tt/Sp,6012 A,0,306.1494872929638,243.06632660995308,66.92673985692844,-2.3719639807545656,5.724073503230299,5.493334355108896,4.457217168322148,2.8301769538492882,Other,140.40160991854788
6015,b,Tt,0.02018491135985867,0.02596621542156563,0.01641460943040829,15.6,25.8,45.3,0.008316437845406421,0.012242443652185742,0.001587507524355547,1.3,NA,1,1,Y,High,N,Tt/Sp,Tt,NA,0.092,NA,0.10456,46.8050468050468,FC07,None,Tt/Sp,Sp/None,6015 B,0,259.6621542156563,164.14609430408288,122.42443652185742,15.87507524355547,5.5593813791915245,5.100756850207834,4.954028682035063,3.5609182016631817,Other,201.8491135985867
6021,a,Tt,0.003089840360507967,0.005014018060299774,0.0025180702741527394,24.2,38.7,45.6,-3.5762920819359945e-4,-6.932084551769524e-5,-3.35732311970649e-4,0.7,0.9,0.6,1,Y,Low,N,Tt/Tt,Tt,NA,0.01844,NA,0.040319999999999995,31.381892443839355,FC13,Tt,Tt/Tt,Tt/None,6021 A,0,50.140180602997745,25.180702741527394,-0.6932084551769524,-3.35732311970649,3.9148226946980866,3.226077936945084,2.9246236930300373,2.770279841038147,Self,30.89840360507967
6021,b,Tt,0.0017923525687293385,0.004057436218082744,0.002408113730523853,21.5,38.9,44.4,-0.001134975259897697,-2.992375063211039e-4,-9.597976261104813e-4,0.7,NA,0.4,1,N,Low,N,Tt/Tt,Tt,NA,0.0074400000000000004,NA,0.09323000000000001,7.3904837588159324,FC13,None,Tt/Tt,Tt/None,6021 B,0,40.574362180827436,24.08113730523853,-2.992375063211039,-9.597976261104812,3.7031363937657633,3.1814288496092975,2.7928844002657858,2.2744373742309616,Self,17.923525687293385
6023,a,Tt,0.02202049367673209,0.028526919277042095,0.026229985035095993,40.7,NA,46.4,0.00749908917032216,0.009812443091747558,0.003120207168362532,2.7,2.5,1.7,1,Y,High,N,Tt/Tt,Tt,NA,0.0198,NA,0.0394,33.44594594594595,FC14,Tt,Tt/Tt,Tt/Tt,6023 A,0,285.26919277042094,262.2998503509599,98.12443091747558,31.20207168362532,5.653433270511743,5.569488316346397,4.7659689004612265,3.9224186889537465,Self,220.2049367673209
