uniqueID,Plant,Side,dead_tissue.x,other.x,roots.x,Sp_myco_mass,Tt_myco_mass,<NA>.x,mycorrhizas.x,other.y,roots.y,Sp_dead_mass,Tt_dead_mass,<NA>.y,dead_tissue.y,mycorrhizas.y,uncolonized_root_mass,Sp_other_mass,Tt_other_mass,<NA>,percent_Tt_mycos,percent_Sp_mycos,percent_Tt_dead,percent_Sp_dead,N_level,Batch,compartment_fungus_attempted,compartment_fungus,competitors_attempted,competitors,enriched,total_root_biomass_compartment
6001A,6001,A,0.00312,NA,0.02099,0.00774,NA,NA,0.00774,NA,0.02099,0.00312,NA,NA,0.00312,0.00774,0.02099,NA,NA,NA,0,24.301412872841443,0,9.795918367346939,Low,FC04,Sp,Sp,Sp/None,Sp/None,1,0.15075
6001B,6001,B,NA,NA,0.02171,NA,NA,0,0,NA,0.02171,NA,NA,NA,NA,0,0.02171,NA,NA,NA,0,0,0,0,Low,FC04,None,None,Sp/None,Sp/None,1,0.21956
6002A,6002,A,NA,NA,0.02481,0.0801,NA,NA,0.0801,NA,0.02481,NA,NA,NA,NA,0.0801,0.02481,NA,NA,NA,0,76.35115813554475,0,0,High,FC07,Sp,Sp,Sp/Sp,MIXED/SUIPU,1,0.79001
6002B,6002,B,0.0097,NA,0.060219999999999996,0.0153,0.0129,NA,0.0129,NA,0.060219999999999996,0.0097,NA,NA,0.0097,0.0153,0.060219999999999996,NA,NA,NA,0,100,0,0,High,FC07,Sp,Mixed,Sp/Sp,MIXED/SUIPU,1,0.64542
6006A,6006,A,NA,NA,0.06016,NA,0.0131,NA,0.0131,NA,0.06016,NA,NA,NA,NA,0.0131,0.06016,NA,NA,NA,17.881517881517883,0,0,0,High,FC15,Tt,Tt,Tt/Tt,Tt/Tt,1,0.66489
6006B,6006,B,NA,NA,0.0303,NA,0.00873,NA,0.00873,NA,0.0303,NA,NA,NA,NA,0.00873,0.0303,NA,NA,NA,22.3674096848578,0,0,0,High,FC15,Tt,Tt,Tt/Tt,Tt/Tt,1,0.66093
6007A,6007,A,NA,NA,0.030969999999999998,NA,NA,0,0,NA,0.030969999999999998,NA,NA,NA,NA,0,0.030969999999999998,NA,NA,NA,0,0,0,0,Low,FC01,Tt,None,Tt/Sp,Sp/None,1,0.16283999999999998
6007B,6007,B,6.9e-4,NA,0.0356,0.01336,NA,NA,0.01336,NA,0.0356,6.9e-4,NA,NA,6.9e-4,0.01336,0.0356,NA,NA,NA,0,26.908358509566966,0,1.389728096676737,Low,FC01,Sp,Sp,Tt/Sp,Sp/None,1,0.2419
6008A,6008,A,NA,NA,0.0279,0,NA,NA,0,NA,0.0279,NA,NA,NA,NA,0,0.0279,NA,NA,NA,0,0,0,0,Low,FC06,Sp,Sp,Sp/Sp,Sp/Sp,1,0.1377
6008B,6008,B,NA,NA,0.03811,4.8e-4,NA,NA,4.8e-4,NA,0.03811,NA,NA,NA,NA,4.8e-4,0.03811,NA,NA,NA,0,1.2438455558434829,0,0,Low,FC06,Sp,Sp,Sp/Sp,Sp/Sp,1,0.12529
6010A,6010,A,NA,NA,0.09852999999999999,NA,0.01606,NA,0.01606,NA,0.09852999999999999,NA,NA,NA,NA,0.01606,0.09852999999999999,NA,NA,NA,14.015184571079503,0,0,0,High,FC16,Tt,Tt,Tt/None,Tt/None,1,0.78818
6010B,6010,B,NA,NA,0.1128,NA,NA,0,0,NA,0.1128,NA,NA,NA,NA,0,0.1128,NA,NA,NA,0,0,0,0,High,FC16,None,None,Tt/None,Tt/None,1,0.5902999999999999
6011A,6011,A,NA,NA,0.07805999999999999,NA,0.02296,NA,0.02296,NA,0.07805999999999999,NA,NA,NA,NA,0.02296,0.07805999999999999,NA,NA,NA,22.72817263908137,0,0,0,Low,FC13,Tt,Tt,Tt/Sp,Tt/Sp,1,0.13327
6011B,6011,B,0.00677,NA,0.07516,0,NA,NA,0,NA,0.07516,0.00677,NA,NA,0.00677,0,0.07516,NA,NA,NA,0,0,0,8.263151470767728,Low,FC13,Sp,Sp,Tt/Sp,Tt/Sp,1,0.50446
6012A,6012,A,0.0129,NA,0.0704,NA,0.0927,NA,0.0927,NA,0.0704,NA,0.0129,NA,0.0129,0.0927,0.0704,NA,NA,NA,52.67045454545455,0,7.329545454545454,0,High,FC02,Tt,Tt,Tt/Sp,Tt/Sp,1,0.17600000000000002
