Plant,Tt_myco_mass_wholesystem,Sp_myco_mass_wholesystem,Tt_dead_mass_wholesystem,Sp_dead_mass_wholesystem,NM_mass_wholesystem,percent_col_denominator,total_root_mass_wholesystem,percent_Tt,percent_Sp,percent_Tt_dead,percent_Sp_dead,N_level,Batch,competitors_attempted,competitors,enriched,shoot_biomass
6001,0,0.00774,0,0.00312,0.0427,0.05356,0.37031000000000003,0,14.451082897684838,0,5.825242718446601,Low,FC04,Sp/None,Sp/None,1,0.42952
6001,0,0.00774,0,0.00312,0.0427,0.05356,0.37031000000000003,0,14.451082897684838,0,5.825242718446601,Low,FC04,Sp/None,Sp/None,1,0.42952
6002,0.0129,0.0954,0,0.0097,0.08503,0.20303,1.43543,6.3537408264788455,46.9881298330296,0,4.77761907107324,High,FC07,Sp/Sp,MIXED/SUIPU,1,1.4852699999999999
6002,0.0129,0.0954,0,0.0097,0.08503,0.20303,1.43543,6.3537408264788455,46.9881298330296,0,4.77761907107324,High,FC07,Sp/Sp,MIXED/SUIPU,1,1.4852699999999999
6006,0.021830000000000002,0,0,0,0.09046,0.11229,1.32582,19.440733814231013,0,0,0,High,FC15,Tt/Tt,Tt/Tt,1,2.85745
6006,0.021830000000000002,0,0,0,0.09046,0.11229,1.32582,19.440733814231013,0,0,0,High,FC15,Tt/Tt,Tt/Tt,1,2.85745
6007,0,0.01336,0,6.9e-4,0.06656999999999999,0.08062,0.40474,0,16.571570329942944,0,0.8558670305135203,Low,FC01,Tt/Sp,Sp/None,1,0.46426
6007,0,0.01336,0,6.9e-4,0.06656999999999999,0.08062,0.40474,0,16.571570329942944,0,0.8558670305135203,Low,FC01,Tt/Sp,Sp/None,1,0.46426
6008,0,4.8e-4,0,0,0.06601,0.06649,0.26299,0,0.7219130696345316,0,0,Low,FC06,Sp/Sp,Sp/Sp,1,0.28107
6008,0,4.8e-4,0,0,0.06601,0.06649,0.26299,0,0.7219130696345316,0,0,Low,FC06,Sp/Sp,Sp/Sp,1,0.28107
6010,0.01606,0,0,0,0.21133,0.22738999999999998,1.37848,7.062755618101062,0,0,0,High,FC16,Tt/None,Tt/None,1,2.95838
6010,0.01606,0,0,0,0.21133,0.22738999999999998,1.37848,7.062755618101062,0,0,0,High,FC16,Tt/None,Tt/None,1,2.95838
6011,0.02296,0,0,0.00677,0.15322,0.18295,0.63773,12.549877015578028,0,0,3.700464607816343,Low,FC13,Tt/Sp,Tt/Sp,1,0.5197499999999999
6011,0.02296,0,0,0.00677,0.15322,0.18295,0.63773,12.549877015578028,0,0,3.700464607816343,Low,FC13,Tt/Sp,Tt/Sp,1,0.5197499999999999
6012,0.0927,0.0038,0.0129,0.0051,0.1059,0.22039999999999998,0.76032,42.059891107078045,1.7241379310344827,0,2.313974591651543,High,FC02,Tt/Sp,Tt/Sp,1,1.58
6012,0.0927,0.0038,0.0129,0.0051,0.1059,0.22039999999999998,0.76032,42.059891107078045,1.7241379310344827,0,2.313974591651543,High,FC02,Tt/Sp,Tt/Sp,1,1.58
6013,0,0.00227,0,0.00169,0.51706,0.5210199999999999,0.83666,0,0.4356838509078346,0,0.3243637480327051,Low,FC10,Sp/None,Sp/None,1,0.82697
6013,0,0.00227,0,0.00169,0.51706,0.5210199999999999,0.83666,0,0.4356838509078346,0,0.3243637480327051,Low,FC10,Sp/None,Sp/None,1,0.82697
6014,0,0,0,0,0.06772,0.06772,0.66726,0,0,0,0,High,FC07,None/None,None/None,1,1.04408
6014,0,0,0,0,0.06772,0.06772,0.66726,0,0,0,0,High,FC07,None/None,None/None,1,1.04408
6015,0.092,0.0639,0,0.0027,0.20196,0.36056,1.6806900000000002,25.51586421122698,17.72243177279787,0,0.7488351453294876,High,FC07,Sp/None,Tt/Sp,1,1.96873
6015,0.092,0.0639,0,0.0027,0.20196,0.36056,1.6806900000000002,25.51586421122698,17.72243177279787,0,0.7488351453294876,High,FC07,Sp/None,Tt/Sp,1,1.96873
6016,0.05775,0,0,0,0.08813000000000001,0.14588,0.68729,39.5873320537428,0,0,0,Low,FC03,Tt/None,Tt/None,1,0.63562
6016,0.05775,0,0,0,0.08813000000000001,0.14588,0.68729,39.5873320537428,0,0,0,Low,FC03,Tt/None,Tt/None,1,0.63562
6018,0.01757,0,0,0,0.0474,0.06497,0.6961999999999999,27.04325073110666,0,0,0,High,FC12,Tt/None,THETE,1,1.81698
6019,0,0.021089999999999998,0,0.03642,0.06961,0.12712,0.32118,0,16.59062303335431,0,28.650094398993076,Low,FC13,Sp/Sp,Sp/Sp,1,0.46662
6019,0,0.021089999999999998,0,0.03642,0.06961,0.12712,0.32118,0,16.59062303335431,0,28.650094398993076,Low,FC13,Sp/Sp,Sp/Sp,1,0.46662
6020,0,0,0,0.01921,0.10427,0.12348,0.9429799999999999,0,0,0,15.5571752510528,Low,FC11,Sp/Sp,Sp/Sp,1,0.7875399999999999
6020,0,0,0,0.01921,0.10427,0.12348,0.9429799999999999,0,0,0,15.5571752510528,Low,FC11,Sp/Sp,Sp/Sp,1,0.7875399999999999
6021,0.02588,0,0,0,0.13355,0.15943000000000002,0.88253,16.2328294549332,0,0,0,Low,FC13,Tt/None,Tt/Tt,1,0.74122999999999994
6021,0.02588,0,0,0,0.13355,0.15943000000000002,0.88253,16.2328294549332,0,0,0,Low,FC13,Tt/None,Tt/Tt,1,0.74122999999999994
6022,0.0727,0,0,0,0.10585,0.17855,1.7697500000000002,40.71688602632316,0,0,0,High,FC07,Tt/Tt,Tt/Tt,1,3.4294100000000003
6022,0.0727,0,0,0,0.10585,0.17855,1.7697500000000002,40.71688602632316,0,0,0,High,FC07,Tt/Tt,Tt/Tt,1,3.4294100000000003
6023,0.022500000000000003,0,0,0,0.08399999999999999,0.1065,1.1521,21.126760563380284,0,0,0,High,FC14,Tt/Tt,Tt/Tt,1,2.89291
6023,0.022500000000000003,0,0,0,0.08399999999999999,0.1065,1.1521,21.126760563380284,0,0,0,High,FC14,Tt/Tt,Tt/Tt,1,2.89291
6024,0.0448,0,0,0,0.1463,0.19110000000000002,1.6658,23.44322344322344,0,0,0,High,FC14,Tt/None,Tt/Tt,1,3.02475
6024,0.0448,0,0,0,0.1463,0.19110000000000002,1.6658,23.44322344322344,0,0,0,High,FC14,Tt/None,Tt/Tt,1,3.02475
6025,0.01655,0.01307,0,0.01904,0.09407000000000001,0.14273000000000002,1.72692,11.595319834652837,9.157149863378406,0,13.339872486512997,High,FC07,Tt/Sp,Tt/Sp,1,2.31152
6025,0.01655,0.01307,0,0.01904,0.09407000000000001,0.14273000000000002,1.72692,11.595319834652837,9.157149863378406,0,13.339872486512997,High,FC07,Tt/Sp,Tt/Sp,1,2.31152
6026,0.03622,0,0,0,0.14825,0.18447,1.19899,19.63462893695452,0,0,0,High,FC15,Tt/Sp,Tt/Tt,1,2.798
6026,0.03622,0,0,0,0.14825,0.18447,1.19899,19.63462893695452,0,0,0,High,FC15,Tt/Sp,Tt/Tt,1,2.798
6027,0.04506,0,0,0,0.055760000000000004,0.10082,0.95077,44.693513191827016,0,0,0,High,FC15,Tt/Sp,THETE,1,2.1929700000000003
6028,0.0947,0.0061,0.0379,0,0.09555,0.23424999999999999,1.85815,40.42689434364995,2.604055496264675,0,0,High,FC09,Sp/None,MIXED/THETE,1,2.02678
6028,0.0947,0.0061,0.0379,0,0.09555,0.23424999999999999,1.85815,40.42689434364995,2.604055496264675,0,0,High,FC09,Sp/None,MIXED/THETE,1,2.02678
6029,0.00162,0,0,0,0.08236,0.08398,0.41953999999999997,1.9290307216003808,0,0,0,Low,FC08,Tt/Tt,Tt/Tt,1,0.68118
6029,0.00162,0,0,0,0.08236,0.08398,0.41953999999999997,1.9290307216003808,0,0,0,Low,FC08,Tt/Tt,Tt/Tt,1,0.68118
6030,0.013569999999999999,0,0,0,0.11365,0.12722,0.9347599999999999,10.666561861342554,0,0,0,Low,FC11,Tt/Tt,Tt/Tt,1,1.0311700000000001
6030,0.013569999999999999,0,0,0,0.11365,0.12722,0.9347599999999999,10.666561861342554,0,0,0,Low,FC11,Tt/Tt,Tt/Tt,1,1.0311700000000001
6031,0.00805,0,0,0,0.06722,0.07527,0.49872000000000005,10.694831938355254,0,0,0,Low,FC04,Tt/None,Tt/None,1,0.36312
6031,0.00805,0,0,0,0.06722,0.07527,0.49872000000000005,10.694831938355254,0,0,0,Low,FC04,Tt/None,Tt/None,1,0.36312
6032,0.050089999999999996,0,0,0,0.08094000000000001,0.13103,0.74749,38.22788674349385,0,0,0,Low,FC04,Tt/Tt,Tt/Tt,1,0.6456
6032,0.050089999999999996,0,0,0,0.08094000000000001,0.13103,0.74749,38.22788674349385,0,0,0,Low,FC04,Tt/Tt,Tt/Tt,1,0.6456
6033,0,0.01254,0,0.00296,0.08145,0.09695,0.35241,0,12.934502320783912,0,3.0531201650335222,Low,FC01,Sp/Sp,Sp/Sp,1,0.48758
6033,0,0.01254,0,0.00296,0.08145,0.09695,0.35241,0,12.934502320783912,0,3.0531201650335222,Low,FC01,Sp/Sp,Sp/Sp,1,0.48758
6034,0.03179,0.01653,0.02213,0,0.09391000000000001,0.16436,0.78501,19.341688975419807,10.05719153078608,0,0,High,FC05,Tt/Sp,MIXED/THETE,1,2.04062
6034,0.03179,0.01653,0.02213,0,0.09391000000000001,0.16436,0.78501,19.341688975419807,10.05719153078608,0,0,High,FC05,Tt/Sp,MIXED/THETE,1,2.04062
6035,0.00522,0,0,0,0.039760000000000004,0.044980000000000006,0.5968600000000001,11.605157847932412,0,0,0,Low,FC13,Tt/Tt,Tt/Tt,1,0.96375
6035,0.00522,0,0,0,0.039760000000000004,0.044980000000000006,0.5968600000000001,11.605157847932412,0,0,0,Low,FC13,Tt/Tt,Tt/Tt,1,0.96375
6036,0,3e-4,0,0.00386,0.08813,0.09229,0.63881,0,0.32506230360819155,0,4.182468306425399,Low,FC11,Sp/None,Sp/Sp,1,0.63481
