Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,received15N,N_level,Failed_split,Fungi,compartment_fungus,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15,dead_tissue,mycorrhizas,other,roots,percent_col,competitors,enriched,Batch,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13
6001,a,NA,0.013556463073283842,0.0035846360617450834,Sp,NA,0.0011276884351851257,-3.831755992851349e-4,Y,Low,N,Sp/None,Sp,41.2,0.9,44.6,-35.37924413395641,None,12.021461469593204,0.00312,0.00774,NA,0.02099,26.94048033414549,SUIPU/NM,1,FC04,None,135.56463073283842,35.846360617450834,11.276884351851258,-3.831755992851349,4.9094485061793,3.5792420449454574
6001,b,NA,NA,0.004805110961160208,None,NA,NA,-7.809710936755865e-4,N,Low,N,Sp/None,None,48.2,0.8,58.5,-6.152738558536508,None,NA,NA,0,NA,0.02171,0,SUIPU/NM,1,FC04,Sp,NA,48.05110961160209,NA,-7.809710936755865,NA,3.872265228002987
6002,a,0.015985898007320865,0.029340162283762128,0.00781768584307807,Sp,8.174906204589383e-4,0.0010984934290833026,-8.649099983463748e-4,N,High,N,MIXED/SUIPU,Sp,19.6,1.8,10.6,-33.9227923597342,Mixed,26.7094563398951,NA,0.0801,NA,0.02481,76.35115813554475,MIXED/SUIPU,1,FC07,Mixed,293.4016228376213,78.1768584307807,10.984934290833026,-8.64909998346375,5.6815423968374885,4.358973675760804
6002,b,NA,0.02015193620421818,0.01883291194760317,Sp,NA,0.0010656490267668128,0.01883291194760317,Y,High,N,MIXED/SUIPU,MIXED,41.6,2.8,14.9,1.070038253260292,Mixed,18.910481498171407,0.0097,0.0282,NA,0.060219999999999996,31.893236824247907,MIXED/SUIPU,1,FC07,Sp,201.5193620421818,188.3291194760317,10.65649026766813,188.3291194760317,5.305885466309797,5.238191067764471
6002,b,NA,0.06406634231789377,0.01883291194760317,Tt,NA,-1.822839833354184e-5,0.01883291194760317,Y,High,N,MIXED/SUIPU,MIXED,32.4,2.2,14.7,3.4018288035402495,Mixed,-3514.6446300773514,0.0097,0.0282,NA,0.060219999999999996,31.893236824247907,MIXED/SUIPU,1,FC07,Sp,640.6634231789377,188.3291194760317,-0.1822839833354184,188.3291194760317,6.462504238173357,5.238191067764471
6006,a,NA,0.04377849347977203,0.025570558363084084,Tt,NA,0.006601449726569841,0.0010911946748844437,Y,High,N,Tt/Tt,Tt,43.6,1.8,24,40.119782919952506,Self,6.631648394377705,NA,0.0131,NA,0.06016,17.881517881517883,THETE/THETE,1,FC15,Tt,437.78493479772027,255.70558363084083,66.01449726569841,10.911946748844436,6.081727773344836,5.544026718706519
6006,b,0.006839168868316259,0.015821008008825466,0.02242717035905417,Tt,0.0021823465571397804,6.75163917840893e-4,-4.92660280919266e-4,N,High,N,Tt/Tt,Tt,40.4,2.4,17,-32.113423025100964,Self,23.432839923406267,NA,0.00873,NA,0.0303,22.3674096848578,THETE/THETE,1,FC15,Tt,158.21008008825464,224.2717035905417,6.75163917840893,-4.9266028091926595,5.063923770675715,5.412858279268181
6007,a,NA,NA,0.005486804552721658,None,NA,NA,-9.34250939317427e-4,Y,Low,N,Sp/None,None,46.7,0.7,67.2,-5.872945181869843,None,NA,NA,0,NA,0.030969999999999998,0,SUIPU/NM,1,FC01,Sp,NA,54.86804552721658,NA,-9.34250939317427,NA,4.004931130374812
6007,b,0.007322932489023826,0.014677755565315698,0.004728144965359338,Sp,9.634663032961899e-4,-2.992375063211039e-4,-0.0015948194794525028,N,Low,N,Sp/None,Sp,26.1,1.5,17.7,-9.20339621783058,None,-49.05052092489163,6.9e-4,0.01336,NA,0.0356,27.287581699346404,SUIPU/NM,1,FC01,None,146.77755565315698,47.28144965359338,-2.992375063211039,-15.948194794525028,4.98891821384538,3.8561180336598118
6008,a,NA,0.010588213164530735,0.004882076837188887,Sp,NA,0.001007258924734633,-1.4231014668225628e-4,N,Low,N,Sp/Sp,Sp,44.7,1.1,40.5,-74.4023768605314,Self,10.511908015429347,NA,0,NA,0.0279,0,SUIPU/SUIPU,1,FC06,Sp,105.88213164530735,48.82076837188887,10.07258924734633,-1.4231014668225628,4.662326509809314,3.888155803716192
