Plant,Side,mycofungus,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,hyphae.pctC,mycorrhizas.pctC,uncolonized_roots.pctC,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,hyphae.pctN,mycorrhizas.pctN,uncolonized_roots.pctN,enriched,received15N,N_level,Failed_split,Fungi,compartment_fungus,dead_tissue,mycorrhizas,other,roots,percent_col,Batch,Fungus_attempted,attempted,Plantside,versus,mycoC13ppmexcess,nmC13ppmexcess,mycoN15ppmexcess,nmN15ppmexcess,mycologC13,nmlogC13,mycologN15,nmlogN15,competition_treatment
6001,a,Sp,NA,0.013556463073283842,0.0035846360617450834,NA,37.9,41.2,NA,0.0011276884351851257,-3.831755992851349e-4,NA,1.6,0.9,1,Y,Low,N,Sp/None,SUIPU,0.00312,0.00774,NA,0.02099,26.94048033414549,FC04,Sp,Sp/None,6001 A,0,135.56463073283842,35.846360617450834,11.276884351851258,-3.831755992851349,4.9094485061793,3.5792420449454574,3.4209120308069045,2.740108636674128,0
6001,b,None,NA,NA,0.004805110961160208,NA,NA,48.2,NA,NA,-7.809710936755865e-4,NA,NA,0.8,1,N,Low,N,Sp/None,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,48.05110961160209,NA,-7.809710936755865,NA,3.872265228002987,NA,2.4432781407455892,0
6002,a,Sp,0.015985898007320865,0.029340162283762128,0.00781768584307807,24.9,19.6,37.3,8.174906204589383e-4,0.0010984934290833026,-8.649099983463748e-4,1.8,NA,1.3,1,N,High,N,MIXED/SUIPU,SUIPU,NA,0.0801,NA,0.02481,76.35115813554475,FC07,Sp,Sp/Sp,6002 A,0,293.4016228376213,78.1768584307807,10.984934290833026,-8.64909998346375,5.6815423968374885,4.358973675760804,3.411324526122774,2.367560111197171,0
6002,b,None,NA,NA,0.01883291194760317,NA,NA,39.2,NA,NA,-0.0015692724670076652,NA,NA,1.5,1,Y,High,N,MIXED/SUIPU,MIXED,NA,NA,NA,NA,NA,NA,NA,NA,NA,Sp,NA,188.3291194760317,NA,-15.692724670076652,NA,5.238191067764471,NA,1.28859855335798,0
6002,b,Sp,NA,0.02015193620421818,NA,NA,41.6,NA,NA,0.0010656490267668128,NA,NA,2.8,NA,1,Y,High,N,MIXED/SUIPU,MIXED,0.0097,0.0153,NA,NA,100,FC07,Sp,Sp/Sp,6002 B,Sp,201.5193620421818,NA,10.65649026766813,NA,5.305885466309797,NA,3.4004275488436955,NA,0
6002,b,Tt,NA,0.06406634231789377,NA,NA,32.4,NA,NA,-1.822839833354184e-5,NA,NA,2.2,NA,1,Y,High,N,MIXED/SUIPU,MIXED,NA,0.0129,NA,0.060219999999999996,17.64223194748359,FC07,Sp,Sp/Sp,6002 B,Sp,640.6634231789377,NA,-0.1822839833354184,NA,6.462504238173357,NA,2.951683184425256,NA,0
6006,a,Tt,NA,0.04377849347977203,0.025570558363084084,NA,46.5,43.6,NA,0.006601449726569841,0.0010911946748844437,NA,2.6,1.8,1,Y,High,N,Tt/Tt,THETE,NA,0.0131,NA,0.06016,17.881517881517883,FC15,Tt,Tt/Tt,6006 A,0,437.78493479772027,255.70558363084083,66.01449726569841,10.911946748844436,6.081727773344836,5.544026718706519,4.446583759945047,3.408913217360745,0
6006,b,Tt,0.006839168868316259,0.015821008008825466,0.02242717035905417,18.3,40.4,44.6,0.0021823465571397804,6.75163917840893e-4,-4.92660280919266e-4,1.8,2.4,1.5,1,N,High,N,Tt/Tt,THETE,NA,0.00873,NA,0.0303,22.3674096848578,FC15,Tt,Tt/Tt,6006 B,0,158.21008008825464,224.2717035905417,6.75163917840893,-4.9266028091926595,5.063923770675715,5.412858279268181,3.2608643507662025,2.666799005178709,0
6007,a,None,NA,NA,0.005486804552721658,NA,NA,46.7,NA,NA,-9.34250939317427e-4,NA,NA,0.7,1,Y,Low,N,Sp/None,NM,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,54.86804552721658,NA,-9.34250939317427,NA,4.004931130374812,NA,2.3003740746897035,0
6007,b,Sp,0.007322932489023826,0.014677755565315698,0.004728144965359338,11,26.1,47.4,9.634663032961899e-4,-2.992375063211039e-4,-0.0015948194794525028,0.4,1.5,0.5,1,N,Low,N,Sp/None,SUIPU,6.9e-4,0.01336,NA,0.0356,27.287581699346404,FC01,Sp,Tt/Sp,6007 B,0,146.77755565315698,47.28144965359338,-2.992375063211039,-15.948194794525028,4.98891821384538,3.8561180336598118,2.7928844002657858,1.2155739027867203,0
