Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,tissue,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment,pctC,pctN,CNratio,CforN,competition_treatment,mycoC13forN15
6001,a,NA,0.013556463073283842,0.0035846360617450834,SUIPU,NA,0.0011276884351851257,-3.831755992851349e-4,uncolonized_roots,1,Y,Low,N,SUIPU/NM,SUIPU,41.2,0.9,44.6,-35.37924413395641,NM,12.021461469593204
6002,b,NA,NA,0.01883291194760317,NM,NA,NA,-0.0015692724670076652,uncolonized_roots,1,Y,High,N,MIXED/SUIPU,MIXED,39.2,1.5,27,NA,0,NA
6002,b,NA,0.02015193620421818,NA,SUIPU,NA,0.0010656490267668128,NA,mycorrhizas,1,Y,High,N,MIXED/SUIPU,MIXED,41.6,2.8,14.9,NA,0,18.910481498171407
6002,b,NA,0.06406634231789377,NA,THETE,NA,-1.822839833354184e-5,NA,mycorrhizas,1,Y,High,N,MIXED/SUIPU,MIXED,32.4,2.2,14.7,NA,0,-3514.6446300773514
6006,a,NA,0.04377849347977203,0.025570558363084084,THETE,NA,0.006601449726569841,0.0010911946748844437,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,43.6,1.8,24,40.119782919952506,SELF,6.631648394377705
6007,a,NA,NA,0.005486804552721658,NM,NA,NA,-9.34250939317427e-4,uncolonized_roots,1,Y,Low,N,SUIPU/NM,NM,46.7,0.7,67.2,-5.872945181869843,0,NA
6008,b,NA,0.004563217428184441,0.003573640655495147,SUIPU,NA,1.5329586253060024e-4,-3.3208283020252916e-4,uncolonized_roots,1,Y,Low,N,SUIPU/SUIPU,SUIPU,37.9,0.7,53.9,-13.74120253492614,SELF,29.767388061589408
6010,a,0.007201992027461301,0.030900672216962022,0.024845178866740314,THETE,0.001339351717721815,0.0035654110835123265,2.335836115021639e-4,hyphae,1,Y,High,N,THETE/NM,THETE,12,1.1,10.7,132.28955583930494,NM,8.666790867358111
6011,b,NA,0.02042672849601357,0.011808515247866636,SUIPU,NA,2.919746203876028e-4,-7.225788955825818e-4,uncolonized_roots,1,Y,Low,N,THETE/SUIPU,SUIPU,46.9,0.6,84,-28.26920163443806,OTHER,69.96063037566975
6012,a,0.014040160991854789,0.030614948729296376,0.02430663266099531,THETE,0.008170483708488274,0.006692673985692843,-2.3719639807545656e-4,uncolonized_roots,1,Y,High,N,THETE/SUIPU,THETE,45.3,1.2,38.8,-129.07004059799084,OTHER,4.574397138534313
6014,a,NA,NA,0.025570558363084084,NM,NA,NA,-0.0015583237513989157,uncolonized_roots,1,Y,High,N,NM/NM,NM,42.8,2.2,19.2,-16.409015353920683,0,NA
6015,b,0.02018491135985867,0.02596621542156563,0.01641460943040829,THETE,0.008316437845406421,0.012242443652185742,0.001587507524355547,hyphae,1,Y,High,N,THETE/SUIPU,THETE,15.6,1.3,12,16.356593605505388,OTHER,2.120999382090656
6016,b,NA,NA,0.007421883555783326,NM,NA,NA,-9.30601413702159e-4,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,46.3,0.6,81.6,-7.975362433909558,0,NA
6018,b,0.018788943866454577,0.00967571535435674,NA,THETE,0.0020473223691871434,6.423192364122254e-4,NA,hyphae,1,Y,High,Y,THETE,THETE,20,1.3,15.8,NA,0,15.06371723880163
6019,a,NA,0.0314281573949684,0.009356886849290369,SUIPU,NA,0.014271001976754571,-7.116303660598677e-4,uncolonized_roots,1,Y,Low,N,SUIPU/SUIPU,SUIPU,45.2,0.9,50.8,-44.163597977105475,SELF,2.2022390191074455
6020,b,NA,0.03720814712046905,0.010676163871104594,SUIPU,NA,0.0022991239380654727,-3.1018594520865195e-4,uncolonized_roots,1,Y,Low,N,SUIPU/SUIPU,SUIPU,42.7,0.5,90.1,-119.95432963747066,SELF,16.18361955370562
6021,a,0.003089840360507967,0.005014018060299774,0.0025180702741527394,THETE,-3.5762920819359945e-4,-6.932084551769524e-5,-3.35732311970649e-4,uncolonized_roots,1,Y,Low,N,THETE/THETE,THETE,45.6,0.6,77.7,-14.934571030321676,SELF,-72.3305958381576
6022,a,NA,0.018711999630377507,0.026317907926934447,THETE,NA,4.016290571162706e-5,-3.6305659057433992e-6,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,26.5,1.4,18.9,-5154.017339494079,SELF,465.9025361544105
6023,a,0.02202049367673209,0.028526919277042095,0.026229985035095993,THETE,0.00749908917032216,0.009812443091747558,0.003120207168362532,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,46.4,2.5,18.3,9.14263628591459,SELF,2.9072188251500535
6024,b,0.12167707452960985,0.03097759748923634,0.022097432765042058,THETE,0.015788718203993857,0.005280503730484332,7.31780560786488e-6,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,48.6,1.7,27.8,4233.181249846659,SELF,5.866409545438396
6025,a,0.01962433072348735,0.018668031441723798,0.03831791573269672,THETE,0.0026421559113664617,0.003809906623017445,0.0024742894961665707,hyphae,1,Y,High,N,THETE/SUIPU,THETE,10.5,0.8,13.5,7.544804870507786,OTHER,4.8998658730745275
6026,a,NA,0.018063464883455005,0.014578819015147904,THETE,NA,0.004437561319404981,-1.0946494792402062e-4,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,46.4,1.9,24.6,-165.01597293037418,SELF,4.070583724548301
6027,a,0.011544668700143701,0.014875628071857827,0.012215275917769608,THETE,0.005094400788785425,0.003434039850243764,5.729803933919309e-4,hyphae,1,Y,High,Y,THETE,THETE,18.4,1.3,14.6,25.96184484393444,0,4.331815797304125
6028,b,NA,0.011049952629107906,0.0060915248743094175,THETE,NA,7.116579829188896e-4,-8.466623983431898e-4,uncolonized_roots,1,Y,High,N,MIXED/THETE,THETE,45.1,1.6,28.9,-13.051190947810193,0,15.527054981925653
6029,b,NA,0.008884137351575339,0.010401317393731846,THETE,NA,1.8249142258303097e-4,-4.707633253426269e-4,uncolonized_roots,1,Y,Low,N,THETE/THETE,THETE,46.4,0.8,55.2,-18.87177032133793,SELF,48.68249272117534
6030,b,NA,NA,0.013094747010451213,THETE,NA,NA,-0.001175120221067083,uncolonized_roots,1,Y,Low,N,THETE/THETE,THETE,44.8,0.6,69.4,NA,SELF,NA
6031,a,NA,0.006597285283492793,0.005948591647396917,THETE,NA,-6.49588744216334e-4,-7.992186696161863e-4,uncolonized_roots,1,Y,Low,N,THETE/NM,THETE,45,0.6,75.7,-8.254668633630704,NM,-10.156095440741943
6032,b,0.004508241460242202,0.005574764331746751,0.007850669224038764,THETE,-6.860838065314567e-4,-7.444759618465691e-4,-8.57610957542998e-4,hyphae,1,Y,Low,N,THETE/THETE,THETE,15.1,0.7,21.6,-6.5003417723557355,SELF,-7.48817237553154
6033,b,0.018448189912061874,0.02005301060536402,0.006311421339885381,SUIPU,0.0047805785672452306,0.0015035726104622449,-9.34250939317427e-4,mycorrhizas,1,Y,Low,N,MIXED/SUIPU,SUIPU,32.2,1.8,17.9,-21.464265928397083,0,13.336908683910584
6034,a,NA,0.01450186822817523,0.02051466170688876,THETE,NA,4.963426125029202e-4,-3.7952611404140635e-4,mycorrhizas,1,Y,High,N,MIXED/THETE,THETE,35.7,3.6,9.9,-38.21046218335604,0,29.217455569745
6035,b,0.00681717950039773,0.005574764331746751,0.00857629803998261,THETE,0.008163185990416322,-9.121762463820682e-5,-3.028869856829264e-4,mycorrhizas,1,Y,Low,N,THETE/THETE,THETE,47.1,1.3,36.6,-18.40542709082465,SELF,-61.11499125150143
6036,b,NA,0.004387294115665963,0.005233919316637747,SUIPU,NA,5.1111267600434385e-5,-1.9340272112816637e-4,uncolonized_roots,1,Y,Low,N,SUIPU/SUIPU,SUIPU,42.7,0.6,72.6,-22.68475898412277,SELF,85.83810031799477
6038,b,NA,0.04125154051905788,0.01773369819095838,THETE,NA,0.004200367160267726,-1.3866067908407942e-4,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,48.1,1.8,26.6,-297.49991700274495,SELF,9.820936824110529
6039,b,NA,NA,0.0038375297308359535,NM,NA,NA,-1.861037787133646e-4,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,56.5,0.8,74.7,-20.6203751335242,0,NA
6040,b,NA,NA,0.007542823479634642,NM,NA,NA,-9.30601413702159e-4,uncolonized_roots,1,Y,High,N,THETE/NM,NM,44.3,1.5,29.4,-8.10532132078701,0,NA
6041,b,NA,0.12292754376658754,0.014007181738600716,THETE,NA,0.044999390699924036,0.0029632900859812294,uncolonized_roots,1,Y,High,N,THETE/SUIPU,THETE,36.9,1.2,31.1,41.48346607985993,OTHER,2.731760182850544
6043,b,NA,0.06071673002756617,0.012611039844925731,SUIPU,NA,-2.0800060916620344e-4,-7.371769386890215e-4,mycorrhizas,1,Y,High,N,SUIPU/SUIPU,SUIPU,28.1,1.9,14.6,-82.363848949946,SELF,-291.90650099995764
6044,b,NA,0.007894647031101654,0.00875220645266328,THETE,NA,-1.861037787133646e-4,-1.2771227789387662e-4,mycorrhizas,1,Y,Low,N,THETE/THETE,THETE,47.6,1,48.2,-61.81588145864694,SELF,-42.42067026087052
6045,b,NA,0.00647634304745992,0.004882076837188887,THETE,NA,-2.3719639807545656e-4,-0.001321102170759536,uncolonized_roots,1,Y,Low,N,THETE/THETE,THETE,46.4,0.6,83.4,-4.9022272393485675,SELF,-27.303715823710256
6048,b,NA,0.031658930390853435,0.010016529759296011,THETE,NA,0.0048754552613339275,-1.4231014668225628e-4,mycorrhizas,1,Y,High,N,THETE/NM,THETE,40.4,2.7,15.1,-222.46432267082176,NM,6.493533156161407
