Plant,Side,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,mycofungus,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,tissue,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment,pctC,pctN,CNratio
6001,a,NA,0.013556463073283842,0.0035846360617450834,SUIPU,NA,0.0011276884351851257,-3.831755992851349e-4,uncolonized_roots,1,Y,Low,N,SUIPU/NM,SUIPU,41.2,0.9,44.6
6001,b,NA,NA,0.004805110961160208,NM,NA,NA,-7.809710936755865e-4,uncolonized_roots,1,N,Low,N,SUIPU/NM,NM,48.2,0.8,58.5
6002,a,0.015985898007320865,0.029340162283762128,0.00781768584307807,SUIPU,8.174906204589383e-4,0.0010984934290833026,-8.649099983463748e-4,mycorrhizas,1,N,High,N,MIXED/SUIPU,SUIPU,19.6,1.8,10.6
6002,b,NA,NA,0.01883291194760317,NM,NA,NA,-0.0015692724670076652,uncolonized_roots,1,Y,High,N,MIXED/SUIPU,MIXED,39.2,1.5,27
6002,b,NA,0.02015193620421818,NA,SUIPU,NA,0.0010656490267668128,NA,mycorrhizas,1,Y,High,N,MIXED/SUIPU,MIXED,41.6,2.8,14.9
6002,b,NA,0.06406634231789377,NA,THETE,NA,-1.822839833354184e-5,NA,mycorrhizas,1,Y,High,N,MIXED/SUIPU,MIXED,32.4,2.2,14.7
6004,b,NA,6.598129408619258e-5,8.79692459621717e-4,SUIPU,NA,5.474344795290964e-4,-2.773406357645114e-4,mycorrhizas,0,NA,NA,NA,SUIPU,SUIPU,40.2,1,40.6
6006,a,NA,0.04377849347977203,0.025570558363084084,THETE,NA,0.006601449726569841,0.0010911946748844437,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,43.6,1.8,24
6006,b,0.006839168868316259,0.015821008008825466,0.02242717035905417,THETE,0.0021823465571397804,6.75163917840893e-4,-4.92660280919266e-4,mycorrhizas,1,N,High,N,THETE/THETE,THETE,40.4,2.4,17
6007,a,NA,NA,0.005486804552721658,NM,NA,NA,-9.34250939317427e-4,uncolonized_roots,1,Y,Low,N,SUIPU/NM,NM,46.7,0.7,67.2
