Plant,Side,mycofungus,hyphae.APE13C,mycorrhizas.APE13C,uncolonized_roots.APE13C,hyphae.pctC,mycorrhizas.pctC,uncolonized_roots.pctC,hyphae.APE15N,mycorrhizas.APE15N,uncolonized_roots.APE15N,hyphae.pctN,mycorrhizas.pctN,uncolonized_roots.pctN,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment
6001,a,SUIPU,NA,0.013556463073283842,0.0035846360617450834,NA,37.9,41.2,NA,0.0011276884351851257,-3.831755992851349e-4,NA,1.6,0.9,1,Y,Low,N,SUIPU/NM,SUIPU
6001,b,NM,NA,NA,0.004805110961160208,NA,NA,48.2,NA,NA,-7.809710936755865e-4,NA,NA,0.8,1,N,Low,N,SUIPU/NM,NM
6002,a,SUIPU,0.015985898007320865,0.029340162283762128,0.00781768584307807,24.9,19.6,37.3,8.174906204589383e-4,0.0010984934290833026,-8.649099983463748e-4,1.8,NA,1.3,1,N,High,N,MIXED/SUIPU,SUIPU
6002,b,NM,NA,NA,0.01883291194760317,NA,NA,39.2,NA,NA,-0.0015692724670076652,NA,NA,1.5,1,Y,High,N,MIXED/SUIPU,MIXED
6002,b,SUIPU,NA,0.02015193620421818,NA,NA,41.6,NA,NA,0.0010656490267668128,NA,NA,2.8,NA,1,Y,High,N,MIXED/SUIPU,MIXED
6002,b,THETE,NA,0.06406634231789377,NA,NA,32.4,NA,NA,-1.822839833354184e-5,NA,NA,2.2,NA,1,Y,High,N,MIXED/SUIPU,MIXED
6004,b,SUIPU,NA,6.598129408619258e-5,8.79692459621717e-4,NA,40.2,43,NA,5.474344795290964e-4,-2.773406357645114e-4,NA,1,0.7,0,NA,NA,NA,SUIPU,SUIPU
6006,a,THETE,NA,0.04377849347977203,0.025570558363084084,NA,46.5,43.6,NA,0.006601449726569841,0.0010911946748844437,NA,2.6,1.8,1,Y,High,N,THETE/THETE,THETE
6006,b,THETE,0.006839168868316259,0.015821008008825466,0.02242717035905417,18.3,40.4,44.6,0.0021823465571397804,6.75163917840893e-4,-4.92660280919266e-4,1.8,2.4,1.5,1,N,High,N,THETE/THETE,THETE
6007,a,NM,NA,NA,0.005486804552721658,NA,NA,46.7,NA,NA,-9.34250939317427e-4,NA,NA,0.7,1,Y,Low,N,SUIPU/NM,NM
6007,b,SUIPU,0.007322932489023826,0.014677755565315698,0.004728144965359338,11,26.1,47.4,9.634663032961899e-4,-2.992375063211039e-4,-0.0015948194794525028,0.4,1.5,0.5,1,N,Low,N,SUIPU/NM,SUIPU
6008,a,SUIPU,NA,0.010588213164530735,0.004882076837188887,NA,30.4,44.7,NA,0.001007258924734633,-1.4231014668225628e-4,NA,NA,1.1,1,N,Low,N,SUIPU/SUIPU,SUIPU
6008,b,SUIPU,NA,0.004563217428184441,0.003573640655495147,NA,38.3,37.9,NA,1.5329586253060024e-4,-3.3208283020252916e-4,NA,1.1,0.7,1,Y,Low,N,SUIPU/SUIPU,SUIPU
6010,a,THETE,0.007201992027461301,0.030900672216962022,0.024845178866740314,12,35.1,46.9,0.001339351717721815,0.0035654110835123265,2.335836115021639e-4,1.1,1.9,1.4,1,Y,High,N,THETE/NM,THETE
6010,b,NM,NA,NA,0.0520725834754332,NA,NA,48.1,NA,NA,-6.276917196605947e-4,NA,NA,1.6,1,N,High,N,THETE/NM,NM
6011,a,THETE,0.00644335874994062,0.012973820662606883,0.008279451174811436,32.3,36.7,45,3.722621458513986e-4,-3.831755992851349e-4,-4.999592682504717e-4,1,0.8,0.6,1,N,Low,N,THETE/SUIPU,THETE
6011,b,SUIPU,NA,0.02042672849601357,0.011808515247866636,NA,25.6,46.9,NA,2.919746203876028e-4,-7.225788955825818e-4,NA,0.7,0.6,1,Y,Low,N,THETE/SUIPU,SUIPU
6012,a,THETE,0.014040160991854789,0.030614948729296376,0.02430663266099531,4.2,39.1,45.3,0.008170483708488274,0.006692673985692843,-2.3719639807545656e-4,0.3,2.6,1.2,1,Y,High,N,THETE/SUIPU,THETE
6012,b,SUIPU,NA,0.015853986052507762,0.06127684493631902,NA,16.8,17.2,NA,4.5619896593568354e-4,5.510838965971931e-4,NA,1,1.5,1,N,High,N,THETE/SUIPU,SUIPU
6013,a,SUIPU,NA,0.025043010693769352,0.00953279248556993,NA,37.4,43.1,NA,5.145897138847388e-4,-1.5690801974821422e-4,NA,1.2,0.7,1,N,Low,N,SUIPU/NM,SUIPU
6014,a,NM,NA,NA,0.025570558363084084,NA,NA,42.8,NA,NA,-0.0015583237513989157,NA,NA,2.2,1,Y,High,N,NM/NM,NM
6014,b,NM,NA,NA,0.01196242508398404,NA,NA,43.3,NA,NA,-0.0012773075409343582,NA,NA,1.4,1,N,High,N,NM/NM,NM
6015,a,SUIPU,NA,0.01511747117134421,0.01971226536119053,NA,10.7,43.3,NA,-4.56165360305294e-4,-0.0014415376012988368,NA,1.2,1,1,N,High,N,THETE/SUIPU,SUIPU
6015,b,THETE,0.02018491135985867,0.02596621542156563,0.01641460943040829,15.6,25.8,45.3,0.008316437845406421,0.012242443652185742,0.001587507524355547,1.3,NA,1,1,Y,High,N,THETE/SUIPU,THETE
6016,a,THETE,NA,0.006839168868316259,0.004816106093640249,NA,37.5,42.4,NA,-1.0581548273219665e-4,-1.4231014668225628e-4,NA,NA,0.8,1,N,Low,N,THETE/NM,THETE
6016,b,NM,NA,NA,0.007421883555783326,NA,NA,46.3,NA,NA,-9.30601413702159e-4,NA,NA,0.6,1,Y,Low,N,THETE/NM,NM
6018,b,THETE,0.018788943866454577,0.00967571535435674,NA,20,38.3,NA,0.0020473223691871434,6.423192364122254e-4,NA,1.3,2,NA,1,Y,High,Y,THETE,THETE
6019,a,SUIPU,NA,0.0314281573949684,0.009356886849290369,NA,23,45.2,NA,0.014271001976754571,-7.116303660598677e-4,NA,1.3,0.9,1,Y,Low,N,SUIPU/SUIPU,SUIPU
6019,b,SUIPU,NA,0.023801053334227884,0.007136024378321171,NA,32.8,42.8,NA,9.125524060649148e-5,-2.6274272740728355e-4,NA,1.1,0.8,1,N,Low,N,SUIPU/SUIPU,SUIPU
6020,a,SUIPU,NA,0.0250540013276197,0.010720139165737885,NA,20.1,40.8,NA,2.0438808139339182e-4,-4.744128172703421e-4,NA,0.7,0.6,1,N,Low,N,SUIPU/SUIPU,SUIPU
6020,b,SUIPU,NA,0.03720814712046905,0.010676163871104594,NA,36,42.7,NA,0.0022991239380654727,-3.1018594520865195e-4,NA,1.3,0.5,1,Y,Low,N,SUIPU/SUIPU,SUIPU
6021,a,THETE,0.003089840360507967,0.005014018060299774,0.0025180702741527394,24.2,38.7,45.6,-3.5762920819359945e-4,-6.932084551769524e-5,-3.35732311970649e-4,0.7,0.9,0.6,1,Y,Low,N,THETE/THETE,THETE
6021,b,THETE,0.0017923525687293385,0.004057436218082744,0.002408113730523853,21.5,38.9,44.4,-0.001134975259897697,-2.992375063211039e-4,-9.597976261104813e-4,0.7,NA,0.4,1,N,Low,N,THETE/THETE,THETE
