Plant,Side,tissue,enriched,received15N,N_level,Failed_split,Actual_fungi_at_harvest,Actual_fungus_by_compartment,mycofungus,APE13C,APE15N,pctC,pctN,CNratio
6052,b,uncolonized_roots,1,N,High,N,MIXED/THETE,MIXED,NM,0.0226030295101598,-8.904566495800958e-4,42.6,1.6,26.5
6077,a,mycorrhizas,1,N,Low,N,SUIPU/SUIPU,SUIPU,SUIPU,0.013831292016478036,4.2335414013722206e-4,35.2,1,33.9
6045,b,uncolonized_roots,1,Y,Low,N,THETE/THETE,THETE,THETE,0.004882076837188887,-0.001321102170759536,46.4,0.6,83.4
6056,b,uncolonized_roots,1,Y,Low,N,MIXED/SUIPU,SUIPU,SUIPU,0.004134403257624486,-5.10907751252343e-4,46.9,0.7,66.7
6084,b,uncolonized_roots,1,N,Low,N,SUIPU/SUIPU,SUIPU,SUIPU,0.011500694138669054,-5.875471996402148e-4,47.4,0.7,72.3
6071,a,mycorrhizas,1,Y,Low,N,THETE/SUIPU,THETE,THETE,0.0032327818493091964,-6.641867659340495e-4,42.2,0.9,45.1
6028,a,mycorrhizas,1,N,High,N,MIXED/THETE,MIXED,SUIPU,0.013743346920825461,-8.39363360213452e-4,31.3,1.6,19
6004,b,mycorrhizas,0,NA,NA,NA,SUIPU,SUIPU,SUIPU,6.598129408619258e-5,5.474344795290964e-4,40.2,1,40.6
6091,a,uncolonized_roots,0,N,High,N,THETE/NM,THETE,THETE,6.157876024526221e-4,-6.021452031772512e-4,45.7,1.5,30.2
6073,a,uncolonized_roots,0,N,High,N,THETE/THETE,THETE,THETE,-0.0013415507053822218,-5.838976994242406e-4,35.4,1.5,23.4
6091,a,hyphae,0,N,High,N,THETE/NM,THETE,THETE,0.0015174567178264375,2.0803752359283e-4,7.3,0.5,13.9
6004,b,uncolonized_roots,0,NA,NA,NA,SUIPU,SUIPU,SUIPU,8.79692459621717e-4,-2.773406357645114e-4,43,0.7,61.5
6073,b,mycorrhizas,0,N,High,N,THETE/THETE,THETE,THETE,-4.728348176867847e-4,-5.10907751252343e-4,37.4,1.9,19.3
6066,a,uncolonized_roots,1,N,High,N,THETE/THETE,THETE,THETE,0.018360253026545426,-0.0011459238824627627,42.8,1.6,27.2
6015,a,mycorrhizas,1,N,High,N,THETE/SUIPU,SUIPU,SUIPU,0.01511747117134421,-4.56165360305294e-4,10.7,1.2,9.3
6098,a,uncolonized_roots,1,Y,High,N,MIXED/THETE,MIXED,NM,0.008466354964331124,5.985262941544667e-4,46.8,1.7,27.7
6070,a,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,THETE,0.03135123282365626,0.00275163370347431,40.5,2.6,15.6
6078,b,uncolonized_roots,1,N,Low,N,THETE/SUIPU,SUIPU,SUIPU,0.009730685578526854,-5.401037176877566e-4,46.9,0.9,51.7
6040,a,mycorrhizas,1,N,High,N,THETE/NM,THETE,THETE,0.014820663566123882,5.729803933919309e-4,39.4,3.6,10.9
6093,b,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,THETE,0.017447898612021007,-2.7369115827413637e-4,45.8,2.7,16.7
6019,a,uncolonized_roots,1,Y,Low,N,SUIPU/SUIPU,SUIPU,SUIPU,0.009356886849290369,-7.116303660598677e-4,45.2,0.9,50.8
6034,a,mycorrhizas,1,Y,High,N,MIXED/THETE,THETE,THETE,0.01450186822817523,4.963426125029202e-4,35.7,3.6,9.9
6063,b,uncolonized_roots,1,N,High,N,SUIPU/NM,NM,NM,0.009455833846683026,-5.583512053991546e-4,46.3,1.3,34.4
6075,a,mycorrhizas,1,Y,Low,N,THETE/THETE,THETE,THETE,0.0032767637627519886,1.4616718613580382e-5,43.9,0.7,59.7
6002,b,uncolonized_roots,1,Y,High,N,MIXED/SUIPU,MIXED,NM,0.01883291194760317,-0.0015692724670076652,39.2,1.5,27
6084,a,uncolonized_roots,1,Y,Low,N,SUIPU/SUIPU,SUIPU,SUIPU,0.007718735568214674,-8.795080831615065e-4,45,0.7,63.9
6072,a,uncolonized_roots,1,N,Low,N,THETE/THETE,THETE,THETE,0.0025400615535444704,-0.0010473863660031557,47.9,0.8,59.2
6052,b,mycorrhizas,1,N,High,N,MIXED/THETE,MIXED,SUIPU,0.11250599950724904,8.030688754029347e-5,18.9,1.8,10.4
6032,a,hyphae,1,N,Low,N,THETE/THETE,THETE,THETE,0.0012645511855917668,-0.002266345647666146,39.4,1.7,23
6029,b,uncolonized_roots,1,Y,Low,N,THETE/THETE,THETE,THETE,0.010401317393731846,-4.707633253426269e-4,46.4,0.8,55.2
6094,a,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,THETE,0.010731132983286873,2.9214541416577866e-5,41.2,2,20.2
6085,a,uncolonized_roots,1,N,Low,N,THETE/SUIPU,THETE,THETE,0.0042113701773915935,-0.0013794950704167364,45.6,0.8,58.9
6093,a,uncolonized_roots,1,N,High,N,THETE/THETE,THETE,THETE,0.024042852787608204,-0.001175120221067083,43.3,1.8,23.6
6087,a,uncolonized_roots,1,N,High,N,THETE/THETE,THETE,THETE,0.010797095837256743,-8.685595191491591e-4,47.1,2.9,16.2
6016,b,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,NM,0.007421883555783326,-9.30601413702159e-4,46.3,0.6,81.6
6082,a,hyphae,1,Y,High,N,FAILED,OTHER,OTHER,0.010060505640469675,0.0020911140378132576,14.9,1.4,11.1
6064,a,mycorrhizas,1,Y,High,N,THETE/SUIPU,SUIPU,SUIPU,0.011643611320497849,-3.28433348701862e-4,36.8,1.8,20.7
6048,a,uncolonized_roots,1,N,High,N,THETE/NM,NM,NM,0.008609280915019113,-6.824342990967569e-4,42.8,1.5,27.8
6014,a,uncolonized_roots,1,Y,High,N,NM/NM,NM,NM,0.025570558363084084,-0.0015583237513989157,42.8,2.2,19.2
6051,b,uncolonized_roots,1,N,High,N,THETE/NM,THETE,THETE,0.005860632533211341,-1.642069578853267e-4,44.7,1.6,27.9
6059,b,mycorrhizas,1,N,High,Y,THETE,THETE,THETE,0.017052173391278735,4.5619896593568354e-4,40,3.5,11.6
6097,a,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,THETE,0.03364792918395754,-1.8245430790692074e-4,37.8,1.5,24.5
6012,a,uncolonized_roots,1,Y,High,N,THETE/SUIPU,THETE,THETE,0.02430663266099531,-2.3719639807545656e-4,45.3,1.2,38.8
6090,b,uncolonized_roots,1,N,High,N,THETE/NM,NM,NM,0.018876879989659034,-0.001456135855088636,45.8,3.4,13.6
6028,b,uncolonized_roots,1,Y,High,N,MIXED/THETE,THETE,THETE,0.0060915248743094175,-8.466623983431898e-4,45.1,1.6,28.9
6057,b,uncolonized_roots,1,N,Low,N,THETE/NM,THETE,THETE,0.004123407973594562,-7.335274275114823e-4,43.3,0.6,78.2
6087,a,mycorrhizas,1,N,High,N,THETE/THETE,THETE,THETE,0.0018693231331914362,2.1533640718940372e-4,42.6,2.9,14.5
6066,a,mycorrhizas,1,N,High,N,THETE/THETE,THETE,THETE,0.03793334527160663,-2.3719639807545656e-4,38.1,2.7,13.9
6090,a,uncolonized_roots,1,Y,High,N,THETE/NM,THETE,THETE,0.033494086828425695,-0.0011641715920852058,47,1.8,26.5
6025,a,hyphae,1,Y,High,N,THETE/SUIPU,THETE,THETE,0.01962433072348735,0.0026421559113664617,10.5,0.8,13.5
6043,a,uncolonized_roots,1,N,High,N,SUIPU/SUIPU,SUIPU,SUIPU,0.013523483497465794,-0.0014378880385196857,39.6,0.9,42.4
6087,b,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,THETE,0.0026940002355033688,-6.933828222026595e-4,45.4,2.7,16.6
6068,b,hyphae,1,Y,High,N,THETE/NM,THETE,THETE,0.001990276635336574,0.0014086894940240624,17.3,2.1,8.1
6094,b,hyphae,1,N,High,N,THETE/THETE,THETE,THETE,0.008037574633984246,-0.001178769764595744,19.5,1.7,11.2
6006,a,uncolonized_roots,1,Y,High,N,THETE/THETE,THETE,THETE,0.025570558363084084,0.0010911946748844437,43.6,1.8,24
6080,a,mycorrhizas,1,Y,Low,N,THETE/THETE,THETE,THETE,0.005036008229930999,-2.9193854839937305e-4,38.8,0.9,43.1
6065,a,hyphae,1,N,High,N,THETE/THETE,THETE,THETE,0.005959586525670968,0.0013028581124819305,42.5,1.9,22.6
6050,b,mycorrhizas,1,Y,High,N,SUIPU/SUIPU,SUIPU,SUIPU,0.02149290813204563,2.0438808139339182e-4,22.5,1.8,12.8
6012,b,uncolonized_roots,1,N,High,N,THETE/SUIPU,SUIPU,SUIPU,0.06127684493631902,5.510838965971931e-4,17.2,1.5,11.2
6058,a,uncolonized_roots,1,Y,Low,N,NM/NM,NM,NM,0.003716580746080167,-2.1877857108831833e-5,45.9,0.7,64.7
6010,a,hyphae,1,Y,High,N,THETE/NM,THETE,THETE,0.007201992027461301,0.001339351717721815,12,1.1,10.7
6099,a,hyphae,1,N,High,N,THETE/THETE,THETE,THETE,0.033636940460150866,0.0014378843183308065,20.4,1.5,13.6
6075,b,hyphae,1,N,Low,N,THETE/THETE,THETE,THETE,0.012347197578724156,1.569453084729333e-4,35.8,1.5,23.7
6061,a,uncolonized_roots,1,Y,Low,N,THETE/NM,NM,NM,0.007136024378321171,-0.0012809570919493085,53.5,0.9,59
6094,b,mycorrhizas,1,N,High,N,THETE/THETE,THETE,THETE,0.013061767126727464,-6.824342990967569e-4,26.6,1.4,19.1
6075,b,mycorrhizas,1,N,Low,N,THETE/THETE,THETE,THETE,0.005607749208550672,-5.1073536936452335e-5,43.2,0.9,47.1
6007,b,mycorrhizas,1,N,Low,N,SUIPU/NM,SUIPU,SUIPU,0.014677755565315698,-2.992375063211039e-4,26.1,1.5,17.7
6006,b,mycorrhizas,1,N,High,N,THETE/THETE,THETE,THETE,0.015821008008825466,6.75163917840893e-4,40.4,2.4,17
6085,b,uncolonized_roots,1,Y,Low,N,THETE/SUIPU,SUIPU,SUIPU,0.004167389095047991,-0.0015948194794525028,44.4,1.2,36.8
6066,a,hyphae,1,N,High,N,THETE/THETE,THETE,THETE,0.03315343419488004,1.27749733448701e-4,24.9,3.3,7.4
6001,a,uncolonized_roots,1,Y,Low,N,SUIPU/NM,SUIPU,SUIPU,0.0035846360617450834,-3.831755992851349e-4,41.2,0.9,44.6
6023,b,uncolonized_roots,1,N,High,N,THETE/THETE,THETE,THETE,0.02879067523123502,-0.0011641715920852058,46.8,2.9,16.2
6099,b,mycorrhizas,1,Y,High,N,THETE/THETE,THETE,THETE,0.02185562379867756,0.0029778870447290107,40.9,1.8,22.2
6064,b,uncolonized_roots,1,N,High,N,THETE/SUIPU,THETE,THETE,0.01299580729329941,-6.240422165038062e-4,45.2,1.4,32.1
