Plant,Side,mycofungus,dead_tissue,mycorrhizas,other,roots,percent_col,N_level,Batch,Fungus_attempted,compartment_fungus,competitors,attempted,enriched,Plantside
6001,A,Sp,0.00312,0.00774,NA,0.02099,26.94048033414549,Low,FC04,Sp,Sp,Sp/None,Sp/None,1,6001 A
6001,B,NA,NA,0,NA,0.02171,0,Low,FC04,None,None,Sp/None,Sp/None,1,6001 B
6002,A,Sp,NA,0.0801,NA,0.02481,76.35115813554475,High,FC07,Sp,Sp,MIXED/SUIPU,Sp/Sp,1,6002 A
6002,B,Tt,NA,0.0129,NA,0.060219999999999996,17.64223194748359,High,FC07,Sp,Mixed,MIXED/SUIPU,Sp/Sp,1,6002 B
6002,B,Sp,0.0097,0.0153,NA,NA,100,High,FC07,Sp,Mixed,MIXED/SUIPU,Sp/Sp,1,6002 B
6006,A,Tt,NA,0.0131,NA,0.06016,17.881517881517883,High,FC15,Tt,Tt,Tt/Tt,Tt/Tt,1,6006 A
6006,B,Tt,NA,0.00873,NA,0.0303,22.3674096848578,High,FC15,Tt,Tt,Tt/Tt,Tt/Tt,1,6006 B
6007,A,NA,NA,0,NA,0.030969999999999998,0,Low,FC01,Tt,None,Sp/None,Tt/Sp,1,6007 A
6007,B,Sp,6.9e-4,0.01336,NA,0.0356,27.287581699346404,Low,FC01,Sp,Sp,Sp/None,Tt/Sp,1,6007 B
6008,A,Sp,NA,0,NA,0.0279,0,Low,FC06,Sp,Sp,Sp/Sp,Sp/Sp,1,6008 A
6008,B,Sp,NA,4.8e-4,NA,0.03811,1.2438455558434829,Low,FC06,Sp,Sp,Sp/Sp,Sp/Sp,1,6008 B
6010,A,Tt,NA,0.01606,NA,0.09852999999999999,14.015184571079503,High,FC16,Tt,Tt,Tt/None,Tt/None,1,6010 A
6010,B,NA,NA,0,NA,0.1128,0,High,FC16,None,None,Tt/None,Tt/None,1,6010 B
6011,A,Tt,NA,0.02296,NA,0.07805999999999999,22.72817263908137,Low,FC13,Tt,Tt,Tt/Sp,Tt/Sp,1,6011 A
