competitors,compartment_fungus,N_level,received15N,count
None/None,None,High,N,1
None/None,None,High,Y,1
None/None,None,Low,N,2
None/None,None,Low,Y,2
Sp/None,None,High,N,1
Sp/None,None,Low,N,1
Sp/None,None,Low,Y,3
Sp/None,Sp,High,Y,1
Sp/None,Sp,Low,N,3
Sp/None,Sp,Low,Y,1
Sp/Sp,Sp,High,N,2
Sp/Sp,Sp,High,Y,2
Sp/Sp,Sp,Low,N,8
Sp/Sp,Sp,Low,Y,8
Tt/None,None,High,N,5
Tt/None,None,High,Y,2
Tt/None,None,Low,N,2
Tt/None,None,Low,Y,6
Tt/None,Tt,High,N,2
Tt/None,Tt,High,Y,5
Tt/None,Tt,Low,N,6
Tt/None,Tt,Low,Y,2
Tt/Sp,Sp,High,N,4
Tt/Sp,Sp,High,Y,1
Tt/Sp,Sp,Low,N,3
Tt/Sp,Sp,Low,Y,2
Tt/Sp,Tt,High,N,1
Tt/Sp,Tt,High,Y,4
Tt/Sp,Tt,Low,N,2
Tt/Sp,Tt,Low,Y,3
Tt/Tt,Tt,High,N,15
Tt/Tt,Tt,High,Y,15
Tt/Tt,Tt,Low,N,10
Tt/Tt,Tt,Low,Y,10
