plant,side,tissue,Identifier 1,Identifier 2,Run,Row,Amount,d13C,pctC,mcgC,d15N,pctN,mcgN,CNratio
6052,b,NM,Bogar_6052_b_NM,2_B5,1,13,3834,-9.55,42.6,1632,3.46,1.6,61,26.5
6077,a,mycorrhizas,Bogar_6077_a_mycorrhizas,2_B6,1,14,2701,-17.53,35.2,949,7.06,1,28,33.9
6045,b,NM,Bogar_6045_b_NM,2_B7,1,15,2699,-25.67,46.4,1252,2.28,0.6,15,83.4
6056,b,NM,Bogar_6056_b_NM,2_B8,1,16,2821,-26.35,46.9,1323,4.5,0.7,20,66.7
6084,b,NM,Bogar_6084_b_NM,2_B9,1,17,2233,-19.65,47.4,1058,4.29,0.7,15,72.3
6071,a,mycorrhizas,Bogar_6071_a_mycorrhizas,2_B10,1,18,1486,-27.17,42.2,627,4.08,0.9,14,45.1
6028,a,mycorrhizas,Bogar_6028_a_mycorrhizas,2_B12,1,20,2873,-17.61,31.3,899,3.6,1.6,47,19
6004,X,mycorrhizas,Bogar_6004_X_mycorrhizas,1_A11,1,24,2394,-30.05,40.2,963,7.4,1,24,40.6
6091,a,NM,Bogar_6091_a_NM,1_A12,1,25,2495,-29.55,45.7,1140,4.25,1.5,38,30.2
6073,a,TFR,Bogar_6073_a_TFR,1_B1,1,26,3269,-31.33,35.4,1157,4.3,1.5,49,23.4
6091,a,hyphae/rhizomorphs,Bogar_6091_a_hyphae/rhizomorphs,1_B4,1,30,3232,-28.73,7.3,235,6.47,0.5,17,13.9
6004,X,NM,Bogar_6004_X_NM,1_B5,1,31,3619,-29.31,43,1556,5.14,0.7,25,61.5
6073,b,mycorrhizas,Bogar_6073_b_mycorrhizas,1_B8,1,34,3253,-30.54,37.4,1216,4.5,1.9,63,19.3
6066,a,NM,Bogar_6066_a_NM,1_B9,1,35,3734,-13.41,42.8,1600,2.76,1.6,59,27.2
6015,a,mycorrhizas,Bogar_6015_a_mycorrhizas,1_C1,1,40,2470,-16.36,10.7,265,4.65,1.2,29,9.3
6098,a,NM,Bogar_6098_a_NM,1_C2,1,41,3492,-22.41,46.8,1635,7.54,1.7,59,27.7
6070,a,mycorrhizas,Bogar_6070_a_mycorrhizas,1_C3,1,42,2330,-1.59,40.5,944,13.44,2.6,60,15.6
6078,b,NM,Bogar_6078_b_NM,1_C5,1,44,2734,-21.26,46.9,1282,4.42,0.9,25,51.7
6040,a,mycorrhizas,Bogar_6040_a_mycorrhizas,1_C6,1,45,2894,-16.63,39.4,1139,7.47,3.6,105,10.9
6093,b,NM,Bogar_6093_b_NM,1_C7,1,46,2440,-14.24,45.8,1117,5.15,2.7,67,16.7
6019,a,NM,Bogar_6019_a_NM,1_C8,1,47,3629,-21.6,45.2,1639,3.95,0.9,32,50.8
6034,a,mycorrhizas,Bogar_6034_a_mycorrhizas,1_C10,1,52,1868,-16.92,35.7,666,7.26,3.6,67,9.9
6063,b,TFR,Bogar_6063_b_TFR,1_C11,1,53,2819,-21.51,46.3,1306,4.37,1.3,38,34.4
6075,a,mycorrhizas,Bogar_6075_a_mycorrhizas,1_C12,1,54,2748,-27.13,43.9,1206,5.94,0.7,20,59.7
6002,b,NM,Bogar_6002_b_NM,1_D1,1,55,3215,-12.98,39.2,1260,1.6,1.5,47,27
