Page,Original_entry_order,Date,Weigher,Plant_number,Side,Labeling_batch,Tissue,Mass_g,Notes,Notes2,,,,,,,,,,,,,,,,,
1,1,180323,AY,6092,A,FC08,extra SUIPU,0.00398,,,,,,,,,,,,,,,,,,,
1,2,180323,AY,6092,A,FC08,live mycos SUIPU %,0.00099,,,,,,,,,,,,,,,,,,,
1,3,180323,AY,6092,A,FC08,dead SUIPU %,0.00245,,,,,,,,,,,,,,,,,,,
1,4,180323,AY,6029,B,FC08,NM %,0.03447,,,,,,,,,,,,,,,,,,,
1,5,180323,AY,6052,none,FC08,before,0.01741,,,,,,,,,,,,,,,,,,,
1,6,180323,AY,6101,A,FC08,extra roots,0.3164,,,,,,,,,,,,,,,,,,,
1,7,180323,AY,6029,B,FC08,mycos %,0.00153,,,,,,,,,,,,,,,,,,,
1,8,180323,AY,6101,B,FC08,extra roots,0.39393,,,,,,,,,,,,,,,,,,,
1,9,180323,AY,6101,B,FC08,NM %,0.02948,,,,,,,,,,,,,,,,,,,
1,10,180323,AY,6101,A,FC08,mycos %,0.00604,,,,,,,,,,,,,,,,,,,
1,11,180323,AY,6101,A,FC08,other %,0.00038,,,,,,,,,,,,,,,,,,,
1,12,180323,AY,6029,B,FC08,other %,0.00476,,,,,,,,,,,,,,,,,,,
1,13,180323,AY,6029,B,FC08,mycos extra,0.00449,,,,,,,,,,,,,,,,,,,
1,14,180323,AY,6029,B,FC08,extra roots,0.2714,,,,,,,,,,,,,,,,,,,
1,15,180323,AY,6029,A,FC08,NM %,0.03121,,,,,,,,,,,,,,,,,,,
1,16,180323,AY,6029,A,FC08,mycos %,0.00009,very little,,,,,,,,,,,,,,,,,,
1,17,180323,AY,6029,A,FC08,extra mycos,0.00005,,,,,,,,,,,,,,,,,,,
1,18,180323,AY,6101,A,FC08,NM %,0.011,,,,,,,,,,,,,,,,,,,
1,19,180323,AY,6029,A,FC08,TFRs %,0.01192,,,,,,,,,,,,,,,,,,,
1,20,180323,AY,6029,A,FC08,extra roots,0.05962,,,,,,,,,,,,,,,,,,,
2,21,180316,AY,6053,B,FC08,extra roots,0.31764,,,,,,,,,,,,,,,,,,,
2,22,180316,AY,6053,B,FC08,other %,0.00181,,,,,,,,,,,,,,,,,,,
2,23,180316,AY,6053,B,FC08,NM %,0.04247,,,,,,,,,,,,,,,,,,,
2,24,180316,AY,6053,B,FC08,dead mycos %,0.01541,,,,,,,,,,,,,,,,,,,
2,25,180316,AY,6053,B,FC08,live mycos %,0.00544,,,,,,,,,,,,,,,,,,,
2,26,180316,AY,6101,none,FC08,shoot,0.7834,,,,,,,,,,,,,,,,,,,
2,27,180316,AY,6092,none,FC08,shoot,0.70137,,,,,,,,,,,,,,,,,,,
2,28,180316,AY,6029,none,FC08,shoot,0.67391,,,,,,,,,,,,,,,,,,,
2,29,180316,AY,6053,none,FC08,shoot,0.6889,,,,,,,,,,,,,,,,,,,
2,30,180316,AY,6053,A,FC08,extra roots,0.18707,,,,,,,,,,,,,,,,,,,
2,31,180316,AY,6053,A,FC08,other %,0.00438,,,,,,,,,,,,,,,,,,,
2,32,180316,AY,6053,A,FC08,NM %,0.04202,,,,,,,,,,,,,,,,,,,
2,33,180316,AY,6092,B,FC02,extra roots,0.19604,,,,,,,,,,,,,,,,,,,
2,34,180316,AY,6074,B,FC08,NM %,0.01858,,,,,,,,,,,,,,,,,,,
2,35,180316,AY,6092,B,FC08,mycos %,0.0028,,,,,,,,,,,,,,,,,,,
2,36,180316,AY,6053,A,FC08,mycos %,0.01596,,,,,,,,,,,,,,,,,,,
