plant,Amount,d15N,pctN,d13C,pctC
6094,1612,3.46,1.43,-12,44.69
6008,1580,5.24,0.87,-27.54,43.82
6042,1610,5.83,0.74,-32.27,44.22
6097,1527,5.27,1.24,-17.29,44.92
6085,1590,5.3,0.79,-25.65,44.78
6020,1552,3.81,0.53,-18.81,45.29
6065,1731,5.07,1.41,-10.97,44.46
6099,1578,4.73,1.59,-21.85,45.31
6088,1631,5.99,0.59,-24.84,44.48
6093,1897,7.53,1.38,-19.87,44.87
6024,1948,6.69,1.42,-11.14,45.48
6033,1511,4.44,1.07,-24.4,45.27
6011,1582,5.48,0.7,-22.29,45.43
6092,1702,5.85,0.72,-19.46,44.87
6041,1920,6.96,1.49,-4.48,44.88
6043,1730,3.22,1.28,-14.27,45.99
6030,1900,5.19,0.96,-15.48,44.59
6029,1846,5.43,1.26,-18.58,44.39
6078,1906,5.23,0.73,-18.82,45.95
6006,1835,7.96,1.19,-13.18,45.15
6019,1814,4.14,0.9,-23.44,45.43
6026,1906,10.25,1.37,-12.37,46.01
6091,1748,4.9,1.32,-31.85,45.64
6053,1593,4.96,0.54,-21.99,45.88
6064,1512,4.76,1.39,-13.38,44.89
6077,1676,5.6,0.82,-24.9,45.95
6058,1918,5.31,1.47,-15.97,45.47
6012,1826,4.86,1.29,-12.46,45.75
6028,1758,7.93,1.42,-18.27,45.32
6087,1606,5.07,1.29,-16.32,44.25
6036,1610,5.6,0.69,-25.67,45.07
6009,1707,2.95,1.39,-32.52,44.79
6055,1841,4.95,1.32,-17.05,44.81
6050,1924,2.93,1.68,-20.75,45.68
6022,1825,7.36,1.54,-18.37,45.14
6025,1928,6.09,1.30,-8.50,45.56
6004,1532,7.79,0.84,-31.03,46.47
6015,1878,7.77,1.39,-12.22,45.99
6044,1913,7.19,0.92,-23.67,45.35
6035,1891,5.86,1.04,-25.03,46.51
6071,1645,6.62,0.60,-16.51,45.24
6032,1652,6.85,0.59,-19.48,44.82
6021,1563,6.04,0.59,-24.93,44.42
6066,1958,6.61,1.57,-8.24,45.33
6070,1677,6.15,1.56,-6.20,46.11
6073,1878,5.20,1.56,-31.84,45.32
6080,1523,6.52,0.82,-27.76,45.99
6084,1701,3.52,0.74,-19.57,45.63
6045,1821,5.05,0.62,-21.28,46.40
