Sequencing round,Envelope ID,Contents,Morphospecies,Notes from envelope,Sequence_Label,Read quality,First identified BLAST hit,Genbank accession for first identified match,Query coverage,Percent identity,Next named result (if uncultured),Genbank accession no.,Actual identity,Matched prediction?,At level,Notes,
2,6001A,mycos %,Suillus pungens,,6001A_S_m,excellent,Sarocladium strictum,MN544916.1,100,100,,,mold,NA,EM didn't amplify,,
2,6001A,hyphae,Suillus pungens,,6001A_S_h,very good,Uncultured Suillus clone,JX898969.1,100,99.39,Suillus kaibabensis,KX213776.1,Suillus sp.,Y,Genus,,"Hynson study again, Suillus on Pinus."
2,6002A,mycos%,Suillus pungens,,6002A_S_m,poor,,,,,,,Fail,NA,Sequencing failure and/or mixed culture input,,
2,6002A,hyphae,Suillus pungens,,6002A_S_h,ok,Uncultured Suillus clone,JX898969.1,100,96.78,,,Suillus sp.,Y,Genus,,
2,6002B,mycos,Thelephora terrestris,"""THETE mycos""",6002B_MT_m,excellent,Thelephora terrestris,LT174723.1,100,100,,,Thelephora terrestris,Y,Got this right to species even in mixed colonization compartment,,
2,6002B,mycos,Suillus pungens,"""SUIPU live mycos""",6002B_MS_m,ok/poor (het indel?),Uncultured Suillus type,DQ822827.1,98,84.24,Suillus pungens,KX342863.1,Suillus pungens,Y,Got this right to species even in mixed colonization compartment,,
1,6006A,mycos,Thelephora terrestris,,TT_6006A_m,Good,Thelephora sp.,MK027209.1,100,99.51,,,Thelephora sp.,Y,Genus,,
1,6006B,mycos,Thelephora terrestris,,TT_6006B _m,Good,Thelephora terrestris,KP814380.1,100,99.67,,,Thelephora terrestris,Y,Species,,
2,6007B,mycos for % col,Suillus pungens,1:10 diluted,6007B_S_m_d,ok not good (het indel?),Suillus pungens,KX342863.1,100,92.04,,,Suillus pungens,Y,Species,,
2,6012B,hyphae,Suillus pungens,,6012B_S_h,good,Uncultured Suillus clone,HM021173.1,100,99.39,Suillus kaibabensis,KX213776.1,Suillus pungens,Y,Genus,,"Peay et al. 2011, called it Suillus pungens in their paper."
